cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,instance,age_group_sort,develop_type,link,cases,MU,SD,prob,z,p,odds,odds_order,odds_symbol,link_label,link_label_p,d_type_order,image_from,image_to,p_display,p_display_inverse,link_color
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,39,2,overall,383,4681,12.221932114882506,19.439538147229193,0.83,-27,0,Very Likely,1,+,Prob: 0.83% | p: 0.000 | +,p value: 0.000 Very Likely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.001,1000,#255C11
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,71,1,overall,546,34920,63.956043956043956,105.21942947740376,0.2,-1.6,0.118,Neutral,2,o,Prob: 0.20% | p: 0.118 | o,p value: 0.118 Neutral,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.118,8.474576271186441,#BFBA1B
Alcohol,Anemia,Alcohol-->Anemia,0,F,All Age,71,1,from,20,728,36.4,43.61964791479324,9.75,-3.5,0.002,Very Likely,1,+,Prob: 9.75% | p: 0.002 | +,p value: 0.002 Very Likely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.002,500,#255C11
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,13,4,overall,493,25457,51.6369168356998,96.7984034517098,0.05,8.9,0,Very Unlikely,3,-,Prob: 0.05% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.001,1000,#941212
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,13,4,from,21,412,19.61904761904762,22.63067871380836,3.16,1.3,0.195,Neutral,2,o,Prob: 3.16% | p: 0.195 | o,p value: 0.195 Neutral,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.195,5.128205128205128,#BFBA1B
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,2,3,overall,424,7246,17.089622641509433,32.90305964703321,0.03,9.4,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.001,1000,#941212
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,2,3,from,17,336,19.764705882352942,23.282314671668455,0.6,3.1,0.006,Very Unlikely,3,-,Prob: 0.60% | p: 0.006 | -,p value: 0.006 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.006,166.66666666666666,#941212
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,15,1,overall,539,34382,63.788497217068645,122.98907293230812,0.04,9.2,0,Very Unlikely,3,-,Prob: 0.04% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.001,1000,#941212
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,15,1,from,22,865,39.31818181818182,45.164657868141994,1.73,2.5,0.02,Very Unlikely,3,-,Prob: 1.73% | p: 0.020 | -,p value: 0.020 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/Anemia.jpg,0.02,50,#941212
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,9,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.4,0,Very Unlikely,3,-,Prob: 0.02% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,9,4,from,21,613,29.19047619047619,30.931568094131674,1.47,3,0.007,Very Unlikely,3,-,Prob: 1.47% | p: 0.007 | -,p value: 0.007 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.007,142.85714285714286,#941212
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,2,3,overall,489,14713,30.0879345603272,52.87491461865575,0.01,11.7,0,Very Unlikely,3,-,Prob: 0.01% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,2,3,from,21,625,29.761904761904763,38.17316434604913,0.32,3.3,0.003,Very Unlikely,3,-,Prob: 0.32% | p: 0.003 | -,p value: 0.003 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.003,333.3333333333333,#941212
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,11,1,overall,577,69302,120.10745233968804,216.3153776332515,0.02,12.1,0,Very Unlikely,3,-,Prob: 0.02% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,11,1,from,22,1593,72.4090909090909,83.29103255390766,0.69,3.5,0.002,Very Unlikely,3,-,Prob: 0.69% | p: 0.002 | -,p value: 0.002 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.002,500,#941212
Alcohol,AR,Alcohol-->AR,0,F,> 60,2,4,overall,508,24451,48.131889763779526,84.94760147771233,0.01,12.2,0,Very Unlikely,3,-,Prob: 0.01% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,F,> 60,2,4,from,18,201,11.166666666666666,10.755299651252646,1,3.6,0.002,Very Unlikely,3,-,Prob: 1.00% | p: 0.002 | -,p value: 0.002 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.002,500,#941212
Alcohol,AR,Alcohol-->AR,0,F,All Age,2,1,overall,546,34920,63.956043956043956,105.21942947740376,0.01,13.8,0,Very Unlikely,3,-,Prob: 0.01% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,F,All Age,2,1,from,20,728,36.4,43.61964791479324,0.27,3.5,0.002,Very Unlikely,3,-,Prob: 0.27% | p: 0.002 | -,p value: 0.002 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.002,500,#941212
Alcohol,AR,Alcohol-->AR,0,M,> 60,7,4,overall,493,25457,51.6369168356998,96.7984034517098,0.03,10.2,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,M,> 60,7,4,from,21,412,19.61904761904762,22.63067871380836,1.7,2.6,0.019,Very Unlikely,3,-,Prob: 1.70% | p: 0.019 | -,p value: 0.019 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.019,52.631578947368425,#941212
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,2,3,overall,424,7246,17.089622641509433,32.90305964703321,0.03,9.4,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,2,3,from,17,336,19.764705882352942,23.282314671668455,0.6,3.1,0.006,Very Unlikely,3,-,Prob: 0.60% | p: 0.006 | -,p value: 0.006 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.006,166.66666666666666,#941212
Alcohol,AR,Alcohol-->AR,0,M,All Age,9,1,overall,539,34382,63.788497217068645,122.98907293230812,0.03,10.3,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.001,1000,#941212
Alcohol,AR,Alcohol-->AR,0,M,All Age,9,1,from,22,865,39.31818181818182,45.164657868141994,1.04,3.1,0.005,Very Unlikely,3,-,Prob: 1.04% | p: 0.005 | -,p value: 0.005 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AR.jpg,0.005,200,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,4,2,overall,383,4681,12.221932114882506,19.439538147229193,0.09,8.3,0,Very Unlikely,3,-,Prob: 0.09% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,4,2,from,16,355,22.1875,36.735484661745424,1.13,2,0.066,Very Unlikely,3,-,Prob: 1.13% | p: 0.066 | -,p value: 0.066 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.066,15.15151515151515,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,11,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.1,0,Very Unlikely,3,-,Prob: 0.02% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,11,4,from,21,613,29.19047619047619,30.931568094131674,1.79,2.7,0.014,Very Unlikely,3,-,Prob: 1.79% | p: 0.014 | -,p value: 0.014 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.014,71.42857142857143,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,8,3,overall,489,14713,30.0879345603272,52.87491461865575,0.05,9.2,0,Very Unlikely,3,-,Prob: 0.05% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,8,3,from,21,625,29.761904761904763,38.17316434604913,1.28,2.6,0.017,Very Unlikely,3,-,Prob: 1.28% | p: 0.017 | -,p value: 0.017 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.017,58.8235294117647,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,23,1,overall,577,69302,120.10745233968804,216.3153776332515,0.03,10.8,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,23,1,from,22,1593,72.4090909090909,83.29103255390766,1.44,2.8,0.011,Very Unlikely,3,-,Prob: 1.44% | p: 0.011 | -,p value: 0.011 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.011,90.90909090909092,#941212
Alcohol,AS,Alcohol-->AS,0,F,< 40,2,2,overall,335,3002,8.961194029850747,12.76790694169646,0.07,10,0,Very Unlikely,3,-,Prob: 0.07% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,F,< 40,2,2,from,15,238,15.866666666666667,24.674644784436005,0.84,2.2,0.047,Very Unlikely,3,-,Prob: 0.84% | p: 0.047 | -,p value: 0.047 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.047,21.27659574468085,#941212
Alcohol,AS,Alcohol-->AS,0,F,> 60,10,4,overall,508,24451,48.131889763779526,84.94760147771233,0.04,10.1,0,Very Unlikely,3,-,Prob: 0.04% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,F,> 60,10,4,from,18,201,11.166666666666666,10.755299651252646,4.98,0.5,0.651,Neutral,2,o,Prob: 4.98% | p: 0.651 | o,p value: 0.651 Neutral,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.651,1.5360983102918586,#BFBA1B
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,2,3,overall,424,7467,17.610849056603772,24.472534423744737,0.03,13.1,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,2,3,from,18,289,16.055555555555557,18.203012750712844,0.69,3.3,0.004,Very Unlikely,3,-,Prob: 0.69% | p: 0.004 | -,p value: 0.004 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.004,250,#941212
Alcohol,AS,Alcohol-->AS,0,F,All Age,14,1,overall,546,34920,63.956043956043956,105.21942947740376,0.04,11.1,0,Very Unlikely,3,-,Prob: 0.04% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,F,All Age,14,1,from,20,728,36.4,43.61964791479324,1.92,2.3,0.033,Very Unlikely,3,-,Prob: 1.92% | p: 0.033 | -,p value: 0.033 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.033,30.3030303030303,#941212
Alcohol,AS,Alcohol-->AS,0,M,< 40,2,2,overall,262,1679,6.408396946564886,9.638941915573069,0.12,7.4,0,Very Unlikely,3,-,Prob: 0.12% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,M,< 40,2,2,from,14,117,8.357142857142858,14.377370803063792,1.71,1.7,0.122,Neutral,2,o,Prob: 1.71% | p: 0.122 | o,p value: 0.122 Neutral,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.122,8.19672131147541,#BFBA1B
Alcohol,AS,Alcohol-->AS,0,M,> 60,1,4,overall,493,25457,51.6369168356998,96.7984034517098,0,11.6,0,Very Unlikely,3,-,Prob: 0.00% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,M,> 60,1,4,from,21,412,19.61904761904762,22.63067871380836,0.24,3.8,0.001,Very Unlikely,3,-,Prob: 0.24% | p: 0.001 | -,p value: 0.001 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,6,3,overall,424,7246,17.089622641509433,32.90305964703321,0.08,6.9,0,Very Unlikely,3,-,Prob: 0.08% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,6,3,from,17,336,19.764705882352942,23.282314671668455,1.79,2.4,0.027,Very Unlikely,3,-,Prob: 1.79% | p: 0.027 | -,p value: 0.027 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.027,37.03703703703704,#941212
Alcohol,AS,Alcohol-->AS,0,M,All Age,9,1,overall,539,34382,63.788497217068645,122.98907293230812,0.03,10.3,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.001,1000,#941212
Alcohol,AS,Alcohol-->AS,0,M,All Age,9,1,from,22,865,39.31818181818182,45.164657868141994,1.04,3.1,0.005,Very Unlikely,3,-,Prob: 1.04% | p: 0.005 | -,p value: 0.005 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/AS.jpg,0.005,200,#941212
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,15,2,overall,383,4681,12.221932114882506,19.439538147229193,0.32,-2.8,0.005,Very Likely,1,+,Prob: 0.32% | p: 0.005 | +,p value: 0.005 Very Likely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/BP.jpg,0.005,200,#255C11
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,15,2,from,16,355,22.1875,36.735484661745424,4.23,0.8,0.446,Neutral,2,o,Prob: 4.23% | p: 0.446 | o,p value: 0.446 Neutral,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/BP.jpg,0.446,2.242152466367713,#BFBA1B
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,13,4,overall,547,49908,91.23948811700183,169.02142194170352,0.03,10.8,0,Very Unlikely,3,-,Prob: 0.03% | p: 0.000 | -,p value: 0.000 Very Unlikely,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/BP.jpg,0.001,1000,#941212
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,13,4,from,21,613,29.19047619047619,30.931568094131674,2.12,2.4,0.026,Very Unlikely,3,-,Prob: 2.12% | p: 0.026 | -,p value: 0.026 Very Unlikely,2,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/BP.jpg,0.026,38.46153846153846,#941212
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,30,3,overall,489,14713,30.0879345603272,52.87491461865575,0.2,0,0.971,Neutral,2,o,Prob: 0.20% | p: 0.971 | o,p value: 0.971 Neutral,1,https://www.aiinsights.solutions.iqvia.com/images/disease/Alcohol.jpg,https://www.aiinsights.solutions.iqvia.com/images/disease/BP.jpg,0.971,1.0298661174047374,#BFBA1B
