Chronic_disease,ICD_Code,ICD_Version
Cancer,C172,ICD10
Cancer,C178,ICD10
Cancer,C179,ICD10
Cancer,C180,ICD10
Cancer,C181,ICD10
Cancer,C182,ICD10
Cancer,C183,ICD10
Cancer,C184,ICD10
Cancer,C185,ICD10
Cancer,C186,ICD10
Cancer,C187,ICD10
Cancer,C188,ICD10
Cancer,C189,ICD10
Cancer,C19,ICD10
Cancer,C20,ICD10
Cancer,C210,ICD10
Cancer,C211,ICD10
Cancer,C212,ICD10
Cancer,C218,ICD10
Cancer,C228,ICD10
Cancer,C229,ICD10
Cancer,C23,ICD10
Cancer,C240,ICD10
Cancer,C241,ICD10
Cancer,C248,ICD10
Cancer,C249,ICD10
Cancer,C250,ICD10
Cancer,C251,ICD10
Cancer,C252,ICD10
Cancer,C253,ICD10
Cancer,C254,ICD10
Cancer,C257,ICD10
Cancer,C258,ICD10
Cancer,C259,ICD10
Cancer,C260,ICD10
Cancer,C261,ICD10
Cancer,C269,ICD10
Cancer,C300,ICD10
Cancer,C301,ICD10
Cancer,C310,ICD10
Cancer,C311,ICD10
Cancer,C312,ICD10
Cancer,C313,ICD10
Cancer,C318,ICD10
Cancer,C319,ICD10
Cancer,C320,ICD10
Cancer,C321,ICD10
Cancer,C322,ICD10
Cancer,C323,ICD10
Cancer,C328,ICD10
Cancer,C329,ICD10
Cancer,C33,ICD10
Cancer,C3400,ICD10
Cancer,C3401,ICD10
Cancer,C3402,ICD10
Cancer,C3410,ICD10
Cancer,C3411,ICD10
Cancer,C3412,ICD10
Cancer,C342,ICD10
Cancer,C3430,ICD10
Cancer,C3431,ICD10
Cancer,C3432,ICD10
Cancer,C3480,ICD10
Cancer,C3481,ICD10
Cancer,C3482,ICD10
Cancer,C3490,ICD10
Cancer,C3491,ICD10
Cancer,C3492,ICD10
Cancer,C37,ICD10
Cancer,C380,ICD10
Cancer,C381,ICD10
Cancer,C382,ICD10
Cancer,C383,ICD10
Cancer,C384,ICD10
Cancer,C388,ICD10
Cancer,C390,ICD10
Cancer,C399,ICD10
Cancer,C4000,ICD10
Cancer,C4001,ICD10
Cancer,C4002,ICD10
Cancer,C4010,ICD10
Cancer,C4011,ICD10
Cancer,C4012,ICD10
Cancer,C4020,ICD10
Cancer,C4021,ICD10
Cancer,C4022,ICD10
Cancer,C4030,ICD10
Cancer,C4031,ICD10
Cancer,C4032,ICD10
Cancer,C4080,ICD10
Cancer,C4081,ICD10
Cancer,C4082,ICD10
Cancer,C4090,ICD10
Cancer,C4091,ICD10
Cancer,C4092,ICD10
Cancer,C410,ICD10
Cancer,C411,ICD10
Cancer,C412,ICD10
Cancer,C413,ICD10
Cancer,C414,ICD10
Cancer,C419,ICD10
Cancer,C470,ICD10
Cancer,C4710,ICD10
Cancer,C4711,ICD10
Cancer,C4712,ICD10
Cancer,C4720,ICD10
Cancer,C4721,ICD10
Cancer,C4722,ICD10
Cancer,C473,ICD10
Cancer,C474,ICD10
Cancer,C475,ICD10
Cancer,C476,ICD10
Cancer,C478,ICD10
Cancer,C479,ICD10
Cancer,C480,ICD10
Cancer,C481,ICD10
Cancer,C482,ICD10
Cancer,C488,ICD10
Cancer,C490,ICD10
Cancer,C4910,ICD10
Cancer,C4911,ICD10
Cancer,C4912,ICD10
Cancer,C4920,ICD10
Cancer,C4921,ICD10
Cancer,C4922,ICD10
Cancer,C493,ICD10
Cancer,C494,ICD10
Cancer,C495,ICD10
Cancer,C496,ICD10
Cancer,C498,ICD10
Cancer,C499,ICD10
Cancer,C50011,ICD10
Cancer,C50012,ICD10
Cancer,C50019,ICD10
Cancer,C50021,ICD10
Cancer,C50022,ICD10
Cancer,C50029,ICD10
Cancer,C50111,ICD10
Cancer,C50112,ICD10
Cancer,C50119,ICD10
Cancer,C50121,ICD10
Cancer,C50122,ICD10
Cancer,C50129,ICD10
Cancer,C50211,ICD10
Cancer,C50212,ICD10
Cancer,C50219,ICD10
Cancer,C50221,ICD10
Cancer,C50222,ICD10
Cancer,C50229,ICD10
Cancer,C50311,ICD10
Cancer,C50312,ICD10
Cancer,C50319,ICD10
Cancer,C50321,ICD10
Cancer,C50322,ICD10
Cancer,C50329,ICD10
Cancer,C50411,ICD10
Cancer,C50412,ICD10
Cancer,C50419,ICD10
Cancer,C50421,ICD10
Cancer,C50422,ICD10
Cancer,C50429,ICD10
Cancer,C50511,ICD10
Cancer,C50512,ICD10
Cancer,C50519,ICD10
Cancer,C50521,ICD10
Cancer,C50522,ICD10
Cancer,C50529,ICD10
Cancer,C50611,ICD10
Cancer,C50612,ICD10
Cancer,C50619,ICD10
Cancer,C50621,ICD10
Cancer,C50622,ICD10
Cancer,C50629,ICD10
Cancer,C50811,ICD10
Cancer,C50812,ICD10
Cancer,C50819,ICD10
Cancer,C50821,ICD10
Cancer,C50822,ICD10
Cancer,C50829,ICD10
Cancer,C50911,ICD10
Cancer,C50912,ICD10
Cancer,C50919,ICD10
Cancer,C50921,ICD10
Cancer,C50922,ICD10
Cancer,C50929,ICD10
Cancer,C510,ICD10
Cancer,C511,ICD10
Cancer,C512,ICD10
Cancer,C518,ICD10
Cancer,C519,ICD10
Cancer,C52,ICD10
Cancer,C530,ICD10
Cancer,C531,ICD10
Cancer,C538,ICD10
Cancer,C539,ICD10
Cancer,C540,ICD10
Cancer,C541,ICD10
Cancer,C542,ICD10
Cancer,C543,ICD10
Cancer,C548,ICD10
Cancer,C549,ICD10
Cancer,C55,ICD10
Cancer,C561,ICD10
Cancer,C562,ICD10
Cancer,C569,ICD10
Cancer,C5700,ICD10
Cancer,C5701,ICD10
Cancer,C5702,ICD10
Cancer,C5710,ICD10
Cancer,C5711,ICD10
Cancer,C5712,ICD10
Cancer,C5720,ICD10
Cancer,C5721,ICD10
Cancer,C5722,ICD10
Cancer,C573,ICD10
Cancer,C574,ICD10
Cancer,C577,ICD10
Cancer,C578,ICD10
Cancer,C579,ICD10
Cancer,C58,ICD10
Cancer,C600,ICD10
Cancer,C601,ICD10
Cancer,C602,ICD10
Cancer,C608,ICD10
Cancer,C609,ICD10
Cancer,C61,ICD10
Cancer,C6200,ICD10
Cancer,C6201,ICD10
Cancer,C6202,ICD10
Cancer,C6210,ICD10
Cancer,C6211,ICD10
Cancer,C6212,ICD10
Cancer,C6290,ICD10
Cancer,C6291,ICD10
Cancer,C6292,ICD10
Cancer,C6300,ICD10
Cancer,C6301,ICD10
Cancer,C6302,ICD10
Cancer,C6310,ICD10
Cancer,C6311,ICD10
Cancer,C6312,ICD10
Cancer,C632,ICD10
Cancer,C637,ICD10
Cancer,C638,ICD10
Cancer,C639,ICD10
Cancer,C641,ICD10
Cancer,C642,ICD10
Cancer,C649,ICD10
Cancer,C651,ICD10
Cancer,C652,ICD10
Cancer,C659,ICD10
Cancer,C661,ICD10
Cancer,C662,ICD10
Cancer,C669,ICD10
Cancer,C670,ICD10
Cancer,C671,ICD10
Cancer,C672,ICD10
Cancer,C673,ICD10
Cancer,C674,ICD10
Cancer,C675,ICD10
Cancer,C676,ICD10
Cancer,C677,ICD10
Cancer,C678,ICD10
Cancer,C679,ICD10
Cancer,C680,ICD10
Cancer,C681,ICD10
Cancer,C688,ICD10
Cancer,C689,ICD10
Cancer,C6900,ICD10
Cancer,C6901,ICD10
Cancer,C6902,ICD10
Cancer,C6910,ICD10
Cancer,C6911,ICD10
Cancer,C6912,ICD10
Cancer,C6920,ICD10
Cancer,C6921,ICD10
Cancer,C6922,ICD10
Cancer,C6930,ICD10
Cancer,C6931,ICD10
Cancer,C6932,ICD10
Cancer,C6940,ICD10
Cancer,C6941,ICD10
Cancer,C6942,ICD10
Cancer,C6950,ICD10
Cancer,C6951,ICD10
Cancer,C6952,ICD10
Cancer,C6960,ICD10
Cancer,C6961,ICD10
Cancer,C6962,ICD10
Cancer,C6980,ICD10
Cancer,C6981,ICD10
Cancer,C6982,ICD10
Cancer,C6990,ICD10
Cancer,C6991,ICD10
Cancer,C6992,ICD10
Cancer,C700,ICD10
Cancer,C701,ICD10
Cancer,C709,ICD10
Cancer,C710,ICD10
Cancer,C711,ICD10
Cancer,C712,ICD10
Cancer,C713,ICD10
Cancer,C714,ICD10
Cancer,C715,ICD10
Cancer,C716,ICD10
Cancer,C717,ICD10
Cancer,C718,ICD10
Cancer,C719,ICD10
Cancer,C720,ICD10
Cancer,C721,ICD10
Cancer,C7220,ICD10
Cancer,C7221,ICD10
Cancer,C7222,ICD10
Cancer,C7230,ICD10
Cancer,C7231,ICD10
Cancer,C7232,ICD10
Cancer,C7240,ICD10
Cancer,C7241,ICD10
Cancer,C7242,ICD10
Cancer,C7250,ICD10
Cancer,C7259,ICD10
Cancer,C729,ICD10
Cancer,C73,ICD10
Cancer,C7400,ICD10
Cancer,C7401,ICD10
Cancer,C7402,ICD10
Cancer,C7410,ICD10
Cancer,C7411,ICD10
Cancer,C7412,ICD10
Cancer,C7490,ICD10
Cancer,C7491,ICD10
Cancer,C7492,ICD10
Cancer,C750,ICD10
Cancer,C751,ICD10
Cancer,C752,ICD10
Cancer,C753,ICD10
Cancer,C754,ICD10
Cancer,C755,ICD10
Cancer,C758,ICD10
Cancer,C759,ICD10
Cancer,C760,ICD10
Cancer,C761,ICD10
Cancer,C762,ICD10
Cancer,C763,ICD10
Cancer,C7640,ICD10
Cancer,C7641,ICD10
Cancer,C7642,ICD10
Cancer,C7650,ICD10
Cancer,C7651,ICD10
Cancer,C7652,ICD10
Cancer,C768,ICD10
Cancer,C770,ICD10
Cancer,C771,ICD10
Cancer,C772,ICD10
Cancer,C773,ICD10
Cancer,C774,ICD10
Cancer,C775,ICD10
Cancer,C778,ICD10
Cancer,C779,ICD10
Cancer,C7800,ICD10
Cancer,C7801,ICD10
Cancer,C7802,ICD10
Cancer,C781,ICD10
Cancer,C782,ICD10
Cancer,C7830,ICD10
Cancer,C7839,ICD10
Cancer,C784,ICD10
Cancer,C785,ICD10
Cancer,C786,ICD10
Cancer,C787,ICD10
Cancer,C7880,ICD10
Cancer,C7889,ICD10
Cancer,C7900,ICD10
Cancer,C7901,ICD10
Cancer,C7902,ICD10
Cancer,C7910,ICD10
Cancer,C7911,ICD10
Cancer,C7919,ICD10
Cancer,C792,ICD10
Cancer,C7931,ICD10
Cancer,C7932,ICD10
Cancer,C7940,ICD10
Cancer,C7949,ICD10
Cancer,C7951,ICD10
Cancer,C7952,ICD10
Cancer,C7960,ICD10
Cancer,C7961,ICD10
Cancer,C7962,ICD10
Cancer,C7970,ICD10
Cancer,C7971,ICD10
Cancer,C7972,ICD10
Cancer,C7981,ICD10
Cancer,C7982,ICD10
Cancer,C7989,ICD10
Cancer,C799,ICD10
Cancer,C800,ICD10
Cancer,C802,ICD10
Cancer,C969,ICD10
Cancer,C96Z,ICD10
Diabetes,O24011,ICD10
Diabetes,O24012,ICD10
Diabetes,O24013,ICD10
Diabetes,O24019,ICD10
Diabetes,O2402,ICD10
Diabetes,O2403,ICD10
Diabetes,O24111,ICD10
Diabetes,O24112,ICD10
Diabetes,O24113,ICD10
Diabetes,O24119,ICD10
Diabetes,O2412,ICD10
Diabetes,O2413,ICD10
Diabetes,O24311,ICD10
Diabetes,O24312,ICD10
Diabetes,O24313,ICD10
Diabetes,O24319,ICD10
Diabetes,O2432,ICD10
Diabetes,O2433,ICD10
Diabetes,O24811,ICD10
Diabetes,O24812,ICD10
Diabetes,O24813,ICD10
Diabetes,O24819,ICD10
Diabetes,O2482,ICD10
Diabetes,O2483,ICD10
Diabetes,O24911,ICD10
Diabetes,O24912,ICD10
Diabetes,O24913,ICD10
Diabetes,O24919,ICD10
Diabetes,O2492,ICD10
Diabetes,O2493,ICD10
Diabetes,P702,ICD10
Diabetes,E0800,ICD10
Diabetes,E0801,ICD10
Diabetes,E0810,ICD10
Diabetes,E0811,ICD10
Diabetes,E0821,ICD10
Diabetes,E0822,ICD10
Diabetes,E0829,ICD10
Diabetes,E08311,ICD10
Diabetes,E08319,ICD10
Diabetes,E08321,ICD10
Diabetes,E083211,ICD10
Diabetes,E083212,ICD10
Diabetes,E083213,ICD10
Diabetes,E083219,ICD10
Diabetes,E08329,ICD10
Diabetes,E083291,ICD10
Diabetes,E083292,ICD10
Diabetes,E083293,ICD10
Diabetes,E083299,ICD10
Diabetes,E08331,ICD10
Diabetes,E083311,ICD10
Diabetes,E083312,ICD10
Diabetes,E083313,ICD10
Diabetes,E083319,ICD10
Diabetes,E08339,ICD10
Diabetes,E083391,ICD10
Diabetes,E083392,ICD10
Diabetes,E083393,ICD10
Diabetes,E083399,ICD10
Diabetes,E08341,ICD10
Diabetes,E083411,ICD10
Diabetes,E083412,ICD10
Diabetes,E083413,ICD10
Diabetes,E083419,ICD10
Diabetes,E08349,ICD10
Diabetes,E083491,ICD10
Diabetes,E083492,ICD10
Diabetes,E083493,ICD10
Diabetes,E083499,ICD10
Diabetes,E08351,ICD10
Diabetes,E083511,ICD10
Diabetes,E083512,ICD10
Diabetes,E083513,ICD10
Diabetes,E083519,ICD10
Diabetes,E083521,ICD10
Diabetes,E083522,ICD10
Diabetes,E083523,ICD10
Diabetes,E083529,ICD10
Diabetes,E083531,ICD10
Diabetes,E083532,ICD10
Diabetes,E083533,ICD10
Diabetes,E083539,ICD10
Diabetes,E083541,ICD10
Diabetes,E083542,ICD10
Diabetes,E083543,ICD10
Diabetes,E083549,ICD10
Diabetes,E083551,ICD10
Diabetes,E083552,ICD10
Diabetes,E083553,ICD10
Diabetes,E083559,ICD10
Diabetes,E08359,ICD10
Diabetes,E083591,ICD10
Diabetes,E083592,ICD10
Diabetes,E083593,ICD10
Diabetes,E083599,ICD10
Diabetes,E0836,ICD10
Diabetes,E0837X1,ICD10
Diabetes,E0837X2,ICD10
Diabetes,E0837X3,ICD10
Diabetes,E0837X9,ICD10
Diabetes,E0839,ICD10
Diabetes,E0840,ICD10
Diabetes,E0841,ICD10
Diabetes,E0842,ICD10
Diabetes,E0843,ICD10
Diabetes,E0844,ICD10
Diabetes,E0849,ICD10
Diabetes,E0851,ICD10
Diabetes,E0852,ICD10
Diabetes,E0859,ICD10
Diabetes,E08610,ICD10
Diabetes,E08618,ICD10
Diabetes,E08620,ICD10
Diabetes,E08621,ICD10
Diabetes,E08622,ICD10
Diabetes,E08628,ICD10
Diabetes,E08630,ICD10
Diabetes,E08638,ICD10
Diabetes,E08641,ICD10
Diabetes,E08649,ICD10
Diabetes,E0865,ICD10
Diabetes,E0869,ICD10
Diabetes,E088,ICD10
Diabetes,E089,ICD10
Diabetes,E0900,ICD10
Diabetes,E0901,ICD10
Diabetes,E0910,ICD10
Diabetes,E0911,ICD10
Diabetes,E0921,ICD10
Diabetes,E0922,ICD10
Diabetes,E0929,ICD10
Diabetes,E09311,ICD10
Diabetes,E09319,ICD10
Diabetes,E09321,ICD10
Diabetes,E093211,ICD10
Diabetes,E093212,ICD10
Diabetes,E093213,ICD10
Diabetes,E093219,ICD10
Diabetes,E09329,ICD10
Diabetes,E093291,ICD10
Diabetes,E093292,ICD10
Diabetes,E093293,ICD10
Diabetes,E093299,ICD10
Diabetes,E09331,ICD10
Diabetes,E093311,ICD10
Diabetes,E093312,ICD10
Diabetes,E093313,ICD10
Diabetes,E093319,ICD10
Diabetes,E09339,ICD10
Diabetes,E093391,ICD10
Diabetes,E093392,ICD10
Diabetes,E093393,ICD10
Diabetes,E093399,ICD10
Diabetes,E09341,ICD10
Diabetes,E093411,ICD10
Diabetes,E093412,ICD10
Diabetes,E093413,ICD10
Diabetes,E093419,ICD10
Diabetes,E09349,ICD10
Diabetes,E093491,ICD10
Diabetes,E093492,ICD10
Diabetes,E093493,ICD10
Diabetes,E093499,ICD10
Diabetes,E09351,ICD10
Diabetes,E093511,ICD10
Diabetes,E093512,ICD10
Diabetes,E093513,ICD10
Diabetes,E093519,ICD10
Diabetes,E093521,ICD10
Diabetes,E093522,ICD10
Diabetes,E093523,ICD10
Diabetes,E093529,ICD10
Diabetes,E093531,ICD10
Diabetes,E093532,ICD10
Diabetes,E093533,ICD10
Diabetes,E093539,ICD10
Diabetes,E093541,ICD10
Diabetes,E093542,ICD10
Diabetes,E093543,ICD10
Diabetes,E093549,ICD10
Diabetes,E093551,ICD10
Diabetes,E093552,ICD10
Diabetes,E093553,ICD10
Diabetes,E093559,ICD10
Diabetes,E09359,ICD10
Diabetes,E093591,ICD10
Diabetes,E093592,ICD10
Diabetes,E093593,ICD10
Diabetes,E093599,ICD10
Diabetes,E0936,ICD10
Diabetes,E0937X1,ICD10
Diabetes,E0937X2,ICD10
Diabetes,E0937X3,ICD10
Diabetes,E0937X9,ICD10
Diabetes,E0939,ICD10
Diabetes,E0940,ICD10
Diabetes,E0941,ICD10
Diabetes,E0942,ICD10
Diabetes,E0943,ICD10
Diabetes,E0944,ICD10
Diabetes,E0949,ICD10
Diabetes,E0951,ICD10
Diabetes,E0952,ICD10
Diabetes,E0959,ICD10
Diabetes,E09610,ICD10
Diabetes,E09618,ICD10
Diabetes,E09620,ICD10
Diabetes,E09621,ICD10
Diabetes,E09622,ICD10
Diabetes,E09628,ICD10
Diabetes,E09630,ICD10
Diabetes,E09638,ICD10
Diabetes,E09641,ICD10
Diabetes,E09649,ICD10
Diabetes,E0965,ICD10
Diabetes,E0969,ICD10
Diabetes,E098,ICD10
Diabetes,E099,ICD10
Diabetes,E1010,ICD10
Diabetes,E1011,ICD10
Diabetes,E1021,ICD10
Diabetes,E1022,ICD10
Diabetes,E1029,ICD10
Diabetes,E10311,ICD10
Diabetes,E10319,ICD10
Diabetes,E10321,ICD10
Diabetes,E103211,ICD10
Diabetes,E103212,ICD10
Diabetes,E103213,ICD10
Diabetes,E103219,ICD10
Diabetes,E10329,ICD10
Diabetes,E103291,ICD10
Diabetes,E103292,ICD10
Diabetes,E103293,ICD10
Diabetes,E103299,ICD10
Diabetes,E10331,ICD10
Diabetes,E103311,ICD10
Diabetes,E103312,ICD10
Diabetes,E103313,ICD10
Diabetes,E103319,ICD10
Diabetes,E10339,ICD10
Diabetes,E103391,ICD10
Diabetes,E103392,ICD10
Diabetes,E103393,ICD10
Diabetes,E103399,ICD10
Diabetes,E10341,ICD10
Diabetes,E103411,ICD10
Diabetes,E103412,ICD10
Diabetes,E103413,ICD10
Diabetes,E103419,ICD10
Diabetes,E10349,ICD10
Diabetes,E103491,ICD10
Diabetes,E103492,ICD10
Diabetes,E103493,ICD10
Diabetes,E103499,ICD10
Diabetes,E10351,ICD10
Diabetes,E103511,ICD10
Diabetes,E103512,ICD10
Diabetes,E103513,ICD10
Diabetes,E103519,ICD10
Diabetes,E103521,ICD10
Diabetes,E103522,ICD10
Diabetes,E103523,ICD10
Diabetes,E103529,ICD10
Diabetes,E103531,ICD10
Diabetes,E103532,ICD10
Diabetes,E103533,ICD10
Diabetes,E103539,ICD10
Diabetes,E103541,ICD10
Diabetes,E103542,ICD10
Diabetes,E103543,ICD10
Diabetes,E103549,ICD10
Diabetes,E103551,ICD10
Diabetes,E103552,ICD10
Diabetes,E103553,ICD10
Diabetes,E103559,ICD10
Diabetes,E10359,ICD10
Diabetes,E103591,ICD10
Diabetes,E103592,ICD10
Diabetes,E103593,ICD10
Diabetes,E103599,ICD10
Diabetes,E1036,ICD10
Diabetes,E1037X1,ICD10
Diabetes,E1037X2,ICD10
Diabetes,E1037X3,ICD10
Diabetes,E1037X9,ICD10
Diabetes,E1039,ICD10
Diabetes,E1040,ICD10
Diabetes,E1041,ICD10
Diabetes,E1042,ICD10
Diabetes,E1043,ICD10
Diabetes,E1044,ICD10
Diabetes,E1049,ICD10
Diabetes,E1051,ICD10
Diabetes,E1052,ICD10
Diabetes,E1059,ICD10
Diabetes,E10610,ICD10
Diabetes,E10618,ICD10
Diabetes,E10620,ICD10
Diabetes,E10621,ICD10
Diabetes,E10622,ICD10
Diabetes,E10628,ICD10
Diabetes,E10630,ICD10
Diabetes,E10638,ICD10
Diabetes,E10641,ICD10
Diabetes,E10649,ICD10
Diabetes,E1065,ICD10
Diabetes,E1069,ICD10
Diabetes,E108,ICD10
Diabetes,E109,ICD10
Diabetes,E1100,ICD10
Diabetes,E1101,ICD10
Diabetes,E1110,ICD10
Diabetes,E1111,ICD10
Diabetes,E1121,ICD10
Diabetes,E1122,ICD10
Diabetes,E1129,ICD10
Diabetes,E11311,ICD10
Diabetes,E11319,ICD10
Diabetes,E11321,ICD10
Diabetes,E113211,ICD10
Diabetes,E113212,ICD10
Diabetes,E113213,ICD10
Diabetes,E113219,ICD10
Diabetes,E11329,ICD10
Diabetes,E113291,ICD10
Diabetes,E113292,ICD10
Diabetes,E113293,ICD10
Diabetes,E113299,ICD10
Diabetes,E11331,ICD10
Diabetes,E113311,ICD10
Diabetes,E113312,ICD10
Diabetes,E113313,ICD10
Diabetes,E113319,ICD10
Diabetes,E11339,ICD10
Diabetes,E113391,ICD10
Diabetes,E113392,ICD10
Diabetes,E113393,ICD10
Diabetes,E113399,ICD10
Diabetes,E11341,ICD10
Diabetes,E113411,ICD10
Diabetes,E113412,ICD10
Diabetes,E113413,ICD10
Diabetes,E113419,ICD10
Diabetes,E11349,ICD10
Diabetes,E113491,ICD10
Diabetes,E113492,ICD10
Diabetes,E113493,ICD10
Diabetes,E113499,ICD10
Diabetes,E11351,ICD10
Diabetes,E113511,ICD10
Diabetes,E113512,ICD10
Diabetes,E113513,ICD10
Diabetes,E113519,ICD10
Diabetes,E113521,ICD10
Diabetes,E113522,ICD10
Diabetes,E113523,ICD10
Diabetes,E113529,ICD10
Diabetes,E113531,ICD10
Diabetes,E113532,ICD10
Diabetes,E113533,ICD10
Diabetes,E113539,ICD10
Diabetes,E113541,ICD10
Diabetes,E113542,ICD10
Diabetes,E113543,ICD10
Diabetes,E113549,ICD10
Diabetes,E113551,ICD10
Diabetes,E113552,ICD10
Diabetes,E113553,ICD10
Diabetes,E113559,ICD10
Diabetes,E11359,ICD10
Diabetes,E113591,ICD10
Diabetes,E113592,ICD10
Diabetes,E113593,ICD10
Diabetes,E113599,ICD10
Diabetes,E1136,ICD10
Diabetes,E1137X1,ICD10
Diabetes,E1137X2,ICD10
Diabetes,E1137X3,ICD10
Diabetes,E1137X9,ICD10
Diabetes,E1139,ICD10
Diabetes,E1140,ICD10
Diabetes,E1141,ICD10
Diabetes,E1142,ICD10
Diabetes,E1143,ICD10
Diabetes,E1144,ICD10
Diabetes,E1149,ICD10
Diabetes,E1151,ICD10
Diabetes,E1152,ICD10
Diabetes,E1159,ICD10
Diabetes,E11610,ICD10
Diabetes,E11618,ICD10
Diabetes,E11620,ICD10
Diabetes,E11621,ICD10
Diabetes,E11622,ICD10
Diabetes,E11628,ICD10
Diabetes,E11630,ICD10
Diabetes,E11638,ICD10
Diabetes,E11641,ICD10
Diabetes,E11649,ICD10
Diabetes,E1165,ICD10
Diabetes,E1169,ICD10
Diabetes,E118,ICD10
Diabetes,E119,ICD10
Diabetes,E1300,ICD10
Diabetes,E1301,ICD10
Diabetes,E1310,ICD10
Diabetes,E1311,ICD10
Diabetes,E1321,ICD10
Diabetes,E1322,ICD10
Diabetes,E1329,ICD10
Diabetes,E13311,ICD10
Diabetes,E13319,ICD10
Diabetes,E13321,ICD10
Diabetes,E133211,ICD10
Diabetes,E133212,ICD10
Diabetes,E133213,ICD10
Diabetes,E133219,ICD10
Diabetes,E13329,ICD10
Diabetes,E133291,ICD10
Diabetes,E133292,ICD10
Diabetes,E133293,ICD10
Diabetes,E133299,ICD10
Diabetes,E13331,ICD10
Diabetes,E133311,ICD10
Diabetes,E133312,ICD10
Diabetes,E133313,ICD10
Diabetes,E133319,ICD10
Diabetes,E13339,ICD10
Diabetes,E133391,ICD10
Diabetes,E133392,ICD10
Diabetes,E133393,ICD10
Diabetes,E133399,ICD10
Diabetes,E13341,ICD10
Diabetes,E133411,ICD10
Diabetes,E133412,ICD10
Diabetes,E133413,ICD10
Diabetes,E133419,ICD10
Diabetes,E13349,ICD10
Diabetes,E133491,ICD10
Diabetes,E133492,ICD10
Diabetes,E133493,ICD10
Diabetes,E133499,ICD10
Diabetes,E13351,ICD10
Diabetes,E133511,ICD10
Diabetes,E133512,ICD10
Diabetes,E133513,ICD10
Diabetes,E133519,ICD10
Diabetes,E133521,ICD10
Diabetes,E133522,ICD10
Diabetes,E133523,ICD10
Diabetes,E133529,ICD10
Diabetes,E133531,ICD10
Diabetes,E133532,ICD10
Diabetes,E133533,ICD10
Diabetes,E133539,ICD10
Diabetes,E133541,ICD10
Diabetes,E133542,ICD10
Diabetes,E133543,ICD10
Diabetes,E133549,ICD10
Diabetes,E133551,ICD10
Diabetes,E133552,ICD10
Diabetes,E133553,ICD10
Diabetes,E133559,ICD10
Diabetes,E13359,ICD10
Diabetes,E133591,ICD10
Diabetes,E133592,ICD10
Diabetes,E133593,ICD10
Diabetes,E133599,ICD10
Diabetes,E1336,ICD10
Diabetes,E1337X1,ICD10
Diabetes,E1337X2,ICD10
Diabetes,E1337X3,ICD10
Diabetes,E1337X9,ICD10
Diabetes,E1339,ICD10
Diabetes,E1340,ICD10
Diabetes,E1341,ICD10
Diabetes,E1342,ICD10
Diabetes,E1343,ICD10
Diabetes,E1344,ICD10
Diabetes,E1349,ICD10
Diabetes,E1351,ICD10
Diabetes,E1352,ICD10
Diabetes,E1359,ICD10
Diabetes,E13610,ICD10
Diabetes,E13618,ICD10
Diabetes,E13620,ICD10
Diabetes,E13621,ICD10
Diabetes,E13622,ICD10
Diabetes,E13628,ICD10
Diabetes,E13630,ICD10
Diabetes,E13638,ICD10
Diabetes,E13641,ICD10
Diabetes,E13649,ICD10
Diabetes,E1365,ICD10
Diabetes,E1369,ICD10
Diabetes,E138,ICD10
