cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,develop_year,instance
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,Within 2 years,6
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,Within 5 years,7
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,Within 10 years,9
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,All Years,9
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,Within 2 years,1
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,Within 5 years,1
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,Within 10 years,1
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,All Years,2
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,Within 2 years,7
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,Within 5 years,8
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,Within 10 years,10
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,All Years,11
Alcohol,AR,Alcohol-->AR,0,F,> 60,Within 10 years,2
Alcohol,AR,Alcohol-->AR,0,F,> 60,All Years,2
Alcohol,AR,Alcohol-->AR,0,F,All Age,Within 10 years,2
Alcohol,AR,Alcohol-->AR,0,F,All Age,All Years,2
Alcohol,AR,Alcohol-->AR,0,M,> 60,Within 2 years,6
Alcohol,AR,Alcohol-->AR,0,M,> 60,Within 5 years,7
Alcohol,AR,Alcohol-->AR,0,M,> 60,Within 10 years,7
Alcohol,AR,Alcohol-->AR,0,M,> 60,All Years,7
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,Within 2 years,1
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,Within 5 years,1
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,Within 10 years,1
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,All Years,2
Alcohol,AR,Alcohol-->AR,0,M,All Age,Within 2 years,7
Alcohol,AR,Alcohol-->AR,0,M,All Age,Within 5 years,8
Alcohol,AR,Alcohol-->AR,0,M,All Age,Within 10 years,8
Alcohol,AR,Alcohol-->AR,0,M,All Age,All Years,9
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,Within 2 years,4
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,Within 5 years,4
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,Within 10 years,4
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,All Years,4
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,Within 2 years,10
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,Within 5 years,11
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,Within 10 years,11
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,All Years,11
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,Within 2 years,6
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,Within 5 years,8
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,Within 10 years,8
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,All Years,8
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,Within 2 years,20
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,Within 5 years,23
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,Within 10 years,23
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,All Years,23
Alcohol,AS,Alcohol-->AS,0,F,< 40,Within 2 years,2
Alcohol,AS,Alcohol-->AS,0,F,< 40,Within 5 years,2
Alcohol,AS,Alcohol-->AS,0,F,< 40,Within 10 years,2
Alcohol,AS,Alcohol-->AS,0,F,< 40,All Years,2
Alcohol,AS,Alcohol-->AS,0,F,> 60,Within 2 years,10
Alcohol,AS,Alcohol-->AS,0,F,> 60,Within 5 years,10
Alcohol,AS,Alcohol-->AS,0,F,> 60,Within 10 years,10
Alcohol,AS,Alcohol-->AS,0,F,> 60,All Years,10
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,Within 2 years,1
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,Within 5 years,2
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,Within 10 years,2
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,All Years,2
Alcohol,AS,Alcohol-->AS,0,F,All Age,Within 2 years,13
Alcohol,AS,Alcohol-->AS,0,F,All Age,Within 5 years,14
Alcohol,AS,Alcohol-->AS,0,F,All Age,Within 10 years,14
Alcohol,AS,Alcohol-->AS,0,F,All Age,All Years,14
Alcohol,AS,Alcohol-->AS,0,M,< 40,Within 2 years,2
Alcohol,AS,Alcohol-->AS,0,M,< 40,Within 5 years,2
Alcohol,AS,Alcohol-->AS,0,M,< 40,Within 10 years,2
Alcohol,AS,Alcohol-->AS,0,M,< 40,All Years,2
Alcohol,AS,Alcohol-->AS,0,M,> 60,Within 5 years,1
Alcohol,AS,Alcohol-->AS,0,M,> 60,Within 10 years,1
Alcohol,AS,Alcohol-->AS,0,M,> 60,All Years,1
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,Within 2 years,5
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,Within 5 years,6
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,Within 10 years,6
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,All Years,6
Alcohol,AS,Alcohol-->AS,0,M,All Age,Within 2 years,7
Alcohol,AS,Alcohol-->AS,0,M,All Age,Within 5 years,9
Alcohol,AS,Alcohol-->AS,0,M,All Age,Within 10 years,9
Alcohol,AS,Alcohol-->AS,0,M,All Age,All Years,9
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,Within 2 years,12
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,Within 5 years,14
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,Within 10 years,14
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,All Years,15
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,Within 2 years,6
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,Within 5 years,8
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,Within 10 years,10
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,All Years,13
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,Within 2 years,23
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,Within 5 years,24
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,Within 10 years,26
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,All Years,30
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,Within 2 years,41
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,Within 5 years,46
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,Within 10 years,50
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,All Years,58
Alcohol,BP,Alcohol-->BP,0,F,< 40,Within 2 years,3
Alcohol,BP,Alcohol-->BP,0,F,< 40,Within 5 years,4
Alcohol,BP,Alcohol-->BP,0,F,< 40,Within 10 years,4
Alcohol,BP,Alcohol-->BP,0,F,< 40,All Years,5
Alcohol,BP,Alcohol-->BP,0,F,> 60,Within 2 years,1
Alcohol,BP,Alcohol-->BP,0,F,> 60,Within 5 years,1
Alcohol,BP,Alcohol-->BP,0,F,> 60,Within 10 years,3
Alcohol,BP,Alcohol-->BP,0,F,> 60,All Years,5
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,Within 2 years,10
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,Within 5 years,10
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,Within 10 years,11
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,All Years,14
Alcohol,BP,Alcohol-->BP,0,F,All Age,Within 2 years,14
Alcohol,BP,Alcohol-->BP,0,F,All Age,Within 5 years,15
Alcohol,BP,Alcohol-->BP,0,F,All Age,Within 10 years,18
Alcohol,BP,Alcohol-->BP,0,F,All Age,All Years,24
Alcohol,BP,Alcohol-->BP,0,M,< 40,Within 2 years,9
Alcohol,BP,Alcohol-->BP,0,M,< 40,Within 5 years,10
Alcohol,BP,Alcohol-->BP,0,M,< 40,Within 10 years,10
Alcohol,BP,Alcohol-->BP,0,M,< 40,All Years,10
Alcohol,BP,Alcohol-->BP,0,M,> 60,Within 2 years,5
Alcohol,BP,Alcohol-->BP,0,M,> 60,Within 5 years,7
Alcohol,BP,Alcohol-->BP,0,M,> 60,Within 10 years,7
Alcohol,BP,Alcohol-->BP,0,M,> 60,All Years,8
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,Within 2 years,13
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,Within 5 years,14
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,Within 10 years,15
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,All Years,16
Alcohol,BP,Alcohol-->BP,0,M,All Age,Within 2 years,27
Alcohol,BP,Alcohol-->BP,0,M,All Age,Within 5 years,31
Alcohol,BP,Alcohol-->BP,0,M,All Age,Within 10 years,32
Alcohol,BP,Alcohol-->BP,0,M,All Age,All Years,34
Alcohol,C,Alcohol-->C,0,All Sex,< 40,Within 10 years,2
Alcohol,C,Alcohol-->C,0,All Sex,< 40,All Years,3
Alcohol,C,Alcohol-->C,0,All Sex,> 60,Within 2 years,27
Alcohol,C,Alcohol-->C,0,All Sex,> 60,Within 5 years,29
Alcohol,C,Alcohol-->C,0,All Sex,> 60,Within 10 years,29
Alcohol,C,Alcohol-->C,0,All Sex,> 60,All Years,33
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,Within 2 years,8
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,Within 5 years,9
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,Within 10 years,10
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,All Years,17
Alcohol,C,Alcohol-->C,0,All Sex,All Age,Within 2 years,35
Alcohol,C,Alcohol-->C,0,All Sex,All Age,Within 5 years,38
Alcohol,C,Alcohol-->C,0,All Sex,All Age,Within 10 years,41
Alcohol,C,Alcohol-->C,0,All Sex,All Age,All Years,53
Alcohol,C,Alcohol-->C,0,F,< 40,Within 10 years,2
Alcohol,C,Alcohol-->C,0,F,< 40,All Years,2
Alcohol,C,Alcohol-->C,0,F,> 60,Within 2 years,10
Alcohol,C,Alcohol-->C,0,F,> 60,Within 5 years,12
Alcohol,C,Alcohol-->C,0,F,> 60,Within 10 years,12
Alcohol,C,Alcohol-->C,0,F,> 60,All Years,14
Alcohol,C,Alcohol-->C,0,F,40 to 60,Within 2 years,4
Alcohol,C,Alcohol-->C,0,F,40 to 60,Within 5 years,5
Alcohol,C,Alcohol-->C,0,F,40 to 60,Within 10 years,6
Alcohol,C,Alcohol-->C,0,F,40 to 60,All Years,11
Alcohol,C,Alcohol-->C,0,F,All Age,Within 2 years,14
Alcohol,C,Alcohol-->C,0,F,All Age,Within 5 years,17
Alcohol,C,Alcohol-->C,0,F,All Age,Within 10 years,20
Alcohol,C,Alcohol-->C,0,F,All Age,All Years,27
Alcohol,C,Alcohol-->C,0,M,< 40,All Years,1
Alcohol,C,Alcohol-->C,0,M,> 60,Within 2 years,17
Alcohol,C,Alcohol-->C,0,M,> 60,Within 5 years,17
Alcohol,C,Alcohol-->C,0,M,> 60,Within 10 years,17
Alcohol,C,Alcohol-->C,0,M,> 60,All Years,19
Alcohol,C,Alcohol-->C,0,M,40 to 60,Within 2 years,4
Alcohol,C,Alcohol-->C,0,M,40 to 60,Within 5 years,4
Alcohol,C,Alcohol-->C,0,M,40 to 60,Within 10 years,4
Alcohol,C,Alcohol-->C,0,M,40 to 60,All Years,6
Alcohol,C,Alcohol-->C,0,M,All Age,Within 2 years,21
Alcohol,C,Alcohol-->C,0,M,All Age,Within 5 years,21
Alcohol,C,Alcohol-->C,0,M,All Age,Within 10 years,21
Alcohol,C,Alcohol-->C,0,M,All Age,All Years,26
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,Within 2 years,9
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,Within 5 years,9
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,Within 10 years,9
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,All Years,9
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,Within 2 years,6
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,Within 5 years,6
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,Within 10 years,6
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,All Years,6
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,Within 2 years,15
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,Within 5 years,15
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,Within 10 years,15
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,All Years,15
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,Within 2 years,6
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,Within 5 years,6
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,Within 10 years,6
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,All Years,6
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,Within 2 years,6
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,Within 5 years,6
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,Within 10 years,6
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,All Years,6
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,Within 2 years,9
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,Within 5 years,9
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,Within 10 years,9
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,All Years,9
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,Within 2 years,9
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,Within 5 years,9
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,Within 10 years,9
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,All Years,9
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,Within 2 years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,Within 5 years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,Within 10 years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,All Years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,Within 2 years,26
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,Within 5 years,26
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,Within 10 years,26
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,All Years,26
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,Within 2 years,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,Within 5 years,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,Within 10 years,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,All Years,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,Within 2 years,29
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,Within 5 years,35
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,Within 10 years,35
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,All Years,35
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,Within 2 years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,Within 5 years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,Within 10 years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,All Years,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,Within 2 years,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,Within 5 years,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,Within 10 years,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,All Years,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,Within 2 years,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,Within 5 years,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,Within 10 years,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,All Years,8
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,Within 2 years,5
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,Within 5 years,11
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,Within 10 years,11
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,All Years,11
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,Within 2 years,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,Within 5 years,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,Within 10 years,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,All Years,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,Within 2 years,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,Within 5 years,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,Within 10 years,24
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,All Years,24
Alcohol,COPD,Alcohol-->COPD,0,All Sex,> 60,Within 2 years,11
Alcohol,COPD,Alcohol-->COPD,0,All Sex,> 60,Within 5 years,11
Alcohol,COPD,Alcohol-->COPD,0,All Sex,> 60,Within 10 years,11
Alcohol,COPD,Alcohol-->COPD,0,All Sex,> 60,All Years,11
Alcohol,COPD,Alcohol-->COPD,0,All Sex,40 to 60,Within 2 years,2
Alcohol,COPD,Alcohol-->COPD,0,All Sex,40 to 60,Within 5 years,2
Alcohol,COPD,Alcohol-->COPD,0,All Sex,40 to 60,Within 10 years,3
Alcohol,COPD,Alcohol-->COPD,0,All Sex,40 to 60,All Years,3
Alcohol,COPD,Alcohol-->COPD,0,All Sex,All Age,Within 2 years,13
Alcohol,COPD,Alcohol-->COPD,0,All Sex,All Age,Within 5 years,13
Alcohol,COPD,Alcohol-->COPD,0,All Sex,All Age,Within 10 years,14
Alcohol,COPD,Alcohol-->COPD,0,All Sex,All Age,All Years,14
Alcohol,COPD,Alcohol-->COPD,0,F,> 60,Within 2 years,2
Alcohol,COPD,Alcohol-->COPD,0,F,> 60,Within 5 years,2
Alcohol,COPD,Alcohol-->COPD,0,F,> 60,Within 10 years,2
Alcohol,COPD,Alcohol-->COPD,0,F,> 60,All Years,2
Alcohol,COPD,Alcohol-->COPD,0,F,40 to 60,Within 2 years,2
Alcohol,COPD,Alcohol-->COPD,0,F,40 to 60,Within 5 years,2
Alcohol,COPD,Alcohol-->COPD,0,F,40 to 60,Within 10 years,3
Alcohol,COPD,Alcohol-->COPD,0,F,40 to 60,All Years,3
Alcohol,COPD,Alcohol-->COPD,0,F,All Age,Within 2 years,4
Alcohol,COPD,Alcohol-->COPD,0,F,All Age,Within 5 years,4
Alcohol,COPD,Alcohol-->COPD,0,F,All Age,Within 10 years,5
Alcohol,COPD,Alcohol-->COPD,0,F,All Age,All Years,5
Alcohol,COPD,Alcohol-->COPD,0,M,> 60,Within 2 years,9
Alcohol,COPD,Alcohol-->COPD,0,M,> 60,Within 5 years,9
Alcohol,COPD,Alcohol-->COPD,0,M,> 60,Within 10 years,9
Alcohol,COPD,Alcohol-->COPD,0,M,> 60,All Years,9
Alcohol,COPD,Alcohol-->COPD,0,M,All Age,Within 2 years,9
Alcohol,COPD,Alcohol-->COPD,0,M,All Age,Within 5 years,9
Alcohol,COPD,Alcohol-->COPD,0,M,All Age,Within 10 years,9
Alcohol,COPD,Alcohol-->COPD,0,M,All Age,All Years,9
Alcohol,CVD,Alcohol-->CVD,0,All Sex,< 40,Within 2 years,10
Alcohol,CVD,Alcohol-->CVD,0,All Sex,< 40,Within 5 years,12
Alcohol,CVD,Alcohol-->CVD,0,All Sex,< 40,Within 10 years,13
Alcohol,CVD,Alcohol-->CVD,0,All Sex,< 40,All Years,15
Alcohol,CVD,Alcohol-->CVD,0,All Sex,> 60,Within 2 years,104
Alcohol,CVD,Alcohol-->CVD,0,All Sex,> 60,Within 5 years,107
Alcohol,CVD,Alcohol-->CVD,0,All Sex,> 60,Within 10 years,112
Alcohol,CVD,Alcohol-->CVD,0,All Sex,> 60,All Years,114
Alcohol,CVD,Alcohol-->CVD,0,All Sex,40 to 60,Within 2 years,52
Alcohol,CVD,Alcohol-->CVD,0,All Sex,40 to 60,Within 5 years,60
Alcohol,CVD,Alcohol-->CVD,0,All Sex,40 to 60,Within 10 years,62
Alcohol,CVD,Alcohol-->CVD,0,All Sex,40 to 60,All Years,65
Alcohol,CVD,Alcohol-->CVD,0,All Sex,All Age,Within 2 years,166
Alcohol,CVD,Alcohol-->CVD,0,All Sex,All Age,Within 5 years,179
Alcohol,CVD,Alcohol-->CVD,0,All Sex,All Age,Within 10 years,187
Alcohol,CVD,Alcohol-->CVD,0,All Sex,All Age,All Years,194
Alcohol,CVD,Alcohol-->CVD,0,F,< 40,Within 2 years,7
Alcohol,CVD,Alcohol-->CVD,0,F,< 40,Within 5 years,8
Alcohol,CVD,Alcohol-->CVD,0,F,< 40,Within 10 years,9
Alcohol,CVD,Alcohol-->CVD,0,F,< 40,All Years,11
Alcohol,CVD,Alcohol-->CVD,0,F,> 60,Within 2 years,27
Alcohol,CVD,Alcohol-->CVD,0,F,> 60,Within 5 years,27
Alcohol,CVD,Alcohol-->CVD,0,F,> 60,Within 10 years,27
Alcohol,CVD,Alcohol-->CVD,0,F,> 60,All Years,29
Alcohol,CVD,Alcohol-->CVD,0,F,40 to 60,Within 2 years,6
Alcohol,CVD,Alcohol-->CVD,0,F,40 to 60,Within 5 years,13
Alcohol,CVD,Alcohol-->CVD,0,F,40 to 60,Within 10 years,13
Alcohol,CVD,Alcohol-->CVD,0,F,40 to 60,All Years,16
Alcohol,CVD,Alcohol-->CVD,0,F,All Age,Within 2 years,40
Alcohol,CVD,Alcohol-->CVD,0,F,All Age,Within 5 years,48
Alcohol,CVD,Alcohol-->CVD,0,F,All Age,Within 10 years,49
Alcohol,CVD,Alcohol-->CVD,0,F,All Age,All Years,56
Alcohol,CVD,Alcohol-->CVD,0,M,< 40,Within 2 years,3
Alcohol,CVD,Alcohol-->CVD,0,M,< 40,Within 5 years,4
Alcohol,CVD,Alcohol-->CVD,0,M,< 40,Within 10 years,4
Alcohol,CVD,Alcohol-->CVD,0,M,< 40,All Years,4
Alcohol,CVD,Alcohol-->CVD,0,M,> 60,Within 2 years,77
Alcohol,CVD,Alcohol-->CVD,0,M,> 60,Within 5 years,80
Alcohol,CVD,Alcohol-->CVD,0,M,> 60,Within 10 years,85
Alcohol,CVD,Alcohol-->CVD,0,M,> 60,All Years,85
Alcohol,CVD,Alcohol-->CVD,0,M,40 to 60,Within 2 years,46
Alcohol,CVD,Alcohol-->CVD,0,M,40 to 60,Within 5 years,47
Alcohol,CVD,Alcohol-->CVD,0,M,40 to 60,Within 10 years,49
Alcohol,CVD,Alcohol-->CVD,0,M,40 to 60,All Years,49
Alcohol,CVD,Alcohol-->CVD,0,M,All Age,Within 2 years,126
Alcohol,CVD,Alcohol-->CVD,0,M,All Age,Within 5 years,131
Alcohol,CVD,Alcohol-->CVD,0,M,All Age,Within 10 years,138
Alcohol,CVD,Alcohol-->CVD,0,M,All Age,All Years,138
Alcohol,D,Alcohol-->D,0,All Sex,< 40,Within 2 years,2
Alcohol,D,Alcohol-->D,0,All Sex,< 40,Within 5 years,2
