cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,instance,age_group_sort
Alcohol,C,Alcohol-->C,0,M,> 60,19,4
Alcohol,C,Alcohol-->C,0,M,40 to 60,6,3
Alcohol,C,Alcohol-->C,0,M,All Age,26,1
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,9,4
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,6,3
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,15,1
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,6,3
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,6,1
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,9,4
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,9,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,1,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,26,4
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,8,3
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,35,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,1,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,2,4
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,8,3
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,11,1
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,24,4
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,24,1
Alcohol,COPD,Alcohol-->COPD,0,All Sex,> 60,11,4
Alcohol,COPD,Alcohol-->COPD,0,All Sex,40 to 60,3,3
Alcohol,COPD,Alcohol-->COPD,0,All Sex,All Age,14,1
Alcohol,COPD,Alcohol-->COPD,0,F,> 60,2,4
Alcohol,COPD,Alcohol-->COPD,0,F,40 to 60,3,3
Alcohol,COPD,Alcohol-->COPD,0,F,All Age,5,1
Alcohol,COPD,Alcohol-->COPD,0,M,> 60,9,4
Alcohol,COPD,Alcohol-->COPD,0,M,All Age,9,1
Alcohol,CVD,Alcohol-->CVD,0,All Sex,< 40,15,2
Alcohol,CVD,Alcohol-->CVD,0,All Sex,> 60,114,4
Alcohol,CVD,Alcohol-->CVD,0,All Sex,40 to 60,65,3
Alcohol,CVD,Alcohol-->CVD,0,All Sex,All Age,194,1
Alcohol,CVD,Alcohol-->CVD,0,F,< 40,11,2
Alcohol,CVD,Alcohol-->CVD,0,F,> 60,29,4
Alcohol,CVD,Alcohol-->CVD,0,F,40 to 60,16,3
Alcohol,CVD,Alcohol-->CVD,0,F,All Age,56,1
Alcohol,CVD,Alcohol-->CVD,0,M,< 40,4,2
Alcohol,CVD,Alcohol-->CVD,0,M,> 60,85,4
Alcohol,CVD,Alcohol-->CVD,0,M,40 to 60,49,3
Alcohol,CVD,Alcohol-->CVD,0,M,All Age,138,1
Alcohol,D,Alcohol-->D,0,All Sex,< 40,6,2
Alcohol,D,Alcohol-->D,0,All Sex,> 60,35,4
Alcohol,D,Alcohol-->D,0,All Sex,40 to 60,32,3
Alcohol,D,Alcohol-->D,0,All Sex,All Age,73,1
Alcohol,D,Alcohol-->D,0,F,< 40,5,2
Alcohol,D,Alcohol-->D,0,F,> 60,14,4
Alcohol,D,Alcohol-->D,0,F,40 to 60,2,3
Alcohol,D,Alcohol-->D,0,F,All Age,21,1
Alcohol,D,Alcohol-->D,0,M,< 40,1,2
Alcohol,D,Alcohol-->D,0,M,> 60,21,4
Alcohol,D,Alcohol-->D,0,M,40 to 60,30,3
Alcohol,D,Alcohol-->D,0,M,All Age,52,1
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,< 40,80,2
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,> 60,8,4
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,40 to 60,39,3
Alcohol,Drugs,Alcohol-->Drugs,0,All Sex,All Age,127,1
Alcohol,Drugs,Alcohol-->Drugs,0,F,< 40,49,2
Alcohol,Drugs,Alcohol-->Drugs,0,F,> 60,5,4
Alcohol,Drugs,Alcohol-->Drugs,0,F,40 to 60,11,3
Alcohol,Drugs,Alcohol-->Drugs,0,F,All Age,65,1
Alcohol,Drugs,Alcohol-->Drugs,0,M,< 40,31,2
Alcohol,Drugs,Alcohol-->Drugs,0,M,> 60,3,4
Alcohol,Drugs,Alcohol-->Drugs,0,M,40 to 60,28,3
Alcohol,Drugs,Alcohol-->Drugs,0,M,All Age,62,1
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,< 40,13,2
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,> 60,89,4
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,40 to 60,46,3
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,All Sex,All Age,148,1
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,< 40,5,2
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,> 60,16,4
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,40 to 60,26,3
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,F,All Age,47,1
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,< 40,8,2
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,> 60,73,4
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,40 to 60,20,3
Alcohol,FluidsLytes,Alcohol-->FluidsLytes,0,M,All Age,101,1
Alcohol,G,Alcohol-->G,0,All Sex,< 40,1,2
Alcohol,G,Alcohol-->G,0,All Sex,> 60,12,4
Alcohol,G,Alcohol-->G,0,All Sex,40 to 60,2,3
Alcohol,G,Alcohol-->G,0,All Sex,All Age,15,1
Alcohol,G,Alcohol-->G,0,M,< 40,1,2
Alcohol,G,Alcohol-->G,0,M,> 60,12,4
Alcohol,G,Alcohol-->G,0,M,40 to 60,2,3
Alcohol,G,Alcohol-->G,0,M,All Age,15,1
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,All Sex,< 40,2,2
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,All Sex,All Age,2,1
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,F,< 40,1,2
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,F,All Age,1,1
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,M,< 40,1,2
Alcohol,Hypothyroid,Alcohol-->Hypothyroid,0,M,All Age,1,1
Alcohol,Liver,Alcohol-->Liver,0,All Sex,< 40,7,2
Alcohol,Liver,Alcohol-->Liver,0,All Sex,> 60,89,4
Alcohol,Liver,Alcohol-->Liver,0,All Sex,40 to 60,83,3
Alcohol,Liver,Alcohol-->Liver,0,All Sex,All Age,179,1
Alcohol,Liver,Alcohol-->Liver,0,F,< 40,5,2
Alcohol,Liver,Alcohol-->Liver,0,F,> 60,41,4
Alcohol,Liver,Alcohol-->Liver,0,F,40 to 60,44,3
Alcohol,Liver,Alcohol-->Liver,0,F,All Age,90,1
Alcohol,Liver,Alcohol-->Liver,0,M,< 40,2,2
Alcohol,Liver,Alcohol-->Liver,0,M,> 60,48,4
Alcohol,Liver,Alcohol-->Liver,0,M,40 to 60,39,3
Alcohol,Liver,Alcohol-->Liver,0,M,All Age,89,1
Alcohol,MHC,Alcohol-->MHC,0,All Sex,< 40,137,2
Alcohol,MHC,Alcohol-->MHC,0,All Sex,> 60,45,4
Alcohol,MHC,Alcohol-->MHC,0,All Sex,40 to 60,168,3
Alcohol,MHC,Alcohol-->MHC,0,All Sex,All Age,350,1
Alcohol,MHC,Alcohol-->MHC,0,F,< 40,87,2
Alcohol,MHC,Alcohol-->MHC,0,F,> 60,24,4
Alcohol,MHC,Alcohol-->MHC,0,F,40 to 60,77,3
Alcohol,MHC,Alcohol-->MHC,0,F,All Age,188,1
Alcohol,MHC,Alcohol-->MHC,0,M,< 40,50,2
Alcohol,MHC,Alcohol-->MHC,0,M,> 60,21,4
Alcohol,MHC,Alcohol-->MHC,0,M,40 to 60,91,3
Alcohol,MHC,Alcohol-->MHC,0,M,All Age,162,1
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,< 40,3,2
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,> 60,15,4
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,40 to 60,21,3
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,All Sex,All Age,39,1
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,< 40,1,2
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,> 60,3,4
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,40 to 60,8,3
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,F,All Age,12,1
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,< 40,2,2
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,> 60,12,4
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,40 to 60,13,3
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,All Age,27,1
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,< 40,26,2
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,> 60,9,4
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,40 to 60,11,3
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,All Age,46,1
Alcohol,Obesity,Alcohol-->Obesity,0,F,< 40,24,2
Alcohol,Obesity,Alcohol-->Obesity,0,F,> 60,6,4
Alcohol,Obesity,Alcohol-->Obesity,0,F,40 to 60,8,3
Alcohol,Obesity,Alcohol-->Obesity,0,F,All Age,38,1
Alcohol,Obesity,Alcohol-->Obesity,0,M,< 40,2,2
Alcohol,Obesity,Alcohol-->Obesity,0,M,> 60,3,4
Alcohol,Obesity,Alcohol-->Obesity,0,M,40 to 60,3,3
Alcohol,Obesity,Alcohol-->Obesity,0,M,All Age,8,1
Alcohol,Osteo,Alcohol-->Osteo,0,All Sex,> 60,17,4
Alcohol,Osteo,Alcohol-->Osteo,0,All Sex,40 to 60,12,3
Alcohol,Osteo,Alcohol-->Osteo,0,All Sex,All Age,29,1
Alcohol,Osteo,Alcohol-->Osteo,0,F,> 60,10,4
Alcohol,Osteo,Alcohol-->Osteo,0,F,40 to 60,12,3
Alcohol,Osteo,Alcohol-->Osteo,0,F,All Age,22,1
Alcohol,Osteo,Alcohol-->Osteo,0,M,> 60,7,4
Alcohol,Osteo,Alcohol-->Osteo,0,M,All Age,7,1
Alcohol,Paralysis,Alcohol-->Paralysis,0,All Sex,> 60,8,4
Alcohol,Paralysis,Alcohol-->Paralysis,0,All Sex,40 to 60,4,3
Alcohol,Paralysis,Alcohol-->Paralysis,0,All Sex,All Age,12,1
Alcohol,Paralysis,Alcohol-->Paralysis,0,M,> 60,8,4
Alcohol,Paralysis,Alcohol-->Paralysis,0,M,40 to 60,4,3
Alcohol,Paralysis,Alcohol-->Paralysis,0,M,All Age,12,1
Alcohol,PUD,Alcohol-->PUD,0,All Sex,> 60,2,4
Alcohol,PUD,Alcohol-->PUD,0,All Sex,40 to 60,15,3
Alcohol,PUD,Alcohol-->PUD,0,All Sex,All Age,17,1
Alcohol,PUD,Alcohol-->PUD,0,F,> 60,1,4
Alcohol,PUD,Alcohol-->PUD,0,F,40 to 60,12,3
Alcohol,PUD,Alcohol-->PUD,0,F,All Age,13,1
Alcohol,PUD,Alcohol-->PUD,0,M,> 60,1,4
Alcohol,PUD,Alcohol-->PUD,0,M,40 to 60,3,3
Alcohol,PUD,Alcohol-->PUD,0,M,All Age,4,1
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,< 40,3,2
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,> 60,34,4
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,40 to 60,30,3
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,All Age,67,1
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,< 40,1,2
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,> 60,6,4
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,40 to 60,8,3
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,All Age,15,1
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,< 40,2,2
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,> 60,28,4
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,40 to 60,22,3
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,All Age,52,1
Anemia,Alcohol,Anemia-->Alcohol,0,All Sex,> 60,19,4
Anemia,Alcohol,Anemia-->Alcohol,0,All Sex,40 to 60,20,3
Anemia,Alcohol,Anemia-->Alcohol,0,All Sex,All Age,39,1
Anemia,Alcohol,Anemia-->Alcohol,0,F,> 60,10,4
Anemia,Alcohol,Anemia-->Alcohol,0,F,40 to 60,19,3
Anemia,Alcohol,Anemia-->Alcohol,0,F,All Age,29,1
Anemia,Alcohol,Anemia-->Alcohol,0,M,> 60,9,4
Anemia,Alcohol,Anemia-->Alcohol,0,M,40 to 60,1,3
Anemia,Alcohol,Anemia-->Alcohol,0,M,All Age,10,1
Anemia,AR,Anemia-->AR,0,All Sex,< 40,2,2
Anemia,AR,Anemia-->AR,0,All Sex,> 60,13,4
Anemia,AR,Anemia-->AR,0,All Sex,40 to 60,3,3
Anemia,AR,Anemia-->AR,0,All Sex,All Age,18,1
Anemia,AR,Anemia-->AR,0,F,< 40,2,2
Anemia,AR,Anemia-->AR,0,F,> 60,8,4
Anemia,AR,Anemia-->AR,0,F,40 to 60,1,3
Anemia,AR,Anemia-->AR,0,F,All Age,11,1
Anemia,AR,Anemia-->AR,0,M,> 60,5,4
Anemia,AR,Anemia-->AR,0,M,40 to 60,2,3
Anemia,AR,Anemia-->AR,0,M,All Age,7,1
Anemia,AS,Anemia-->AS,0,All Sex,< 40,8,2
Anemia,AS,Anemia-->AS,0,All Sex,> 60,13,4
Anemia,AS,Anemia-->AS,0,All Sex,40 to 60,8,3
Anemia,AS,Anemia-->AS,0,All Sex,All Age,29,1
Anemia,AS,Anemia-->AS,0,F,< 40,8,2
Anemia,AS,Anemia-->AS,0,F,> 60,12,4
Anemia,AS,Anemia-->AS,0,F,40 to 60,7,3
Anemia,AS,Anemia-->AS,0,F,All Age,27,1
Anemia,AS,Anemia-->AS,0,M,> 60,1,4
Anemia,AS,Anemia-->AS,0,M,40 to 60,1,3
Anemia,AS,Anemia-->AS,0,M,All Age,2,1
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,< 40,2,2
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,> 60,18,4
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,40 to 60,11,3
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,All Age,31,1
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,< 40,2,2
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,> 60,15,4
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,40 to 60,5,3
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,All Age,22,1
Anemia,BloodLoss,Anemia-->BloodLoss,0,M,> 60,3,4
Anemia,BloodLoss,Anemia-->BloodLoss,0,M,40 to 60,6,3
Anemia,BloodLoss,Anemia-->BloodLoss,0,M,All Age,9,1
Anemia,BP,Anemia-->BP,0,All Sex,< 40,2,2
Anemia,BP,Anemia-->BP,0,All Sex,> 60,29,4
Anemia,BP,Anemia-->BP,0,All Sex,40 to 60,4,3
Anemia,BP,Anemia-->BP,0,All Sex,All Age,35,1
Anemia,BP,Anemia-->BP,0,F,< 40,2,2
Anemia,BP,Anemia-->BP,0,F,> 60,11,4
Anemia,BP,Anemia-->BP,0,F,40 to 60,4,3
Anemia,BP,Anemia-->BP,0,F,All Age,17,1
Anemia,BP,Anemia-->BP,0,M,> 60,18,4
Anemia,BP,Anemia-->BP,0,M,All Age,18,1
Anemia,C,Anemia-->C,0,All Sex,< 40,4,2
Anemia,C,Anemia-->C,0,All Sex,> 60,136,4
Anemia,C,Anemia-->C,0,All Sex,40 to 60,28,3
Anemia,C,Anemia-->C,0,All Sex,All Age,168,1
Anemia,C,Anemia-->C,0,F,< 40,4,2
Anemia,C,Anemia-->C,0,F,> 60,53,4
Anemia,C,Anemia-->C,0,F,40 to 60,18,3
Anemia,C,Anemia-->C,0,F,All Age,75,1
Anemia,C,Anemia-->C,0,M,> 60,83,4
Anemia,C,Anemia-->C,0,M,40 to 60,10,3
Anemia,C,Anemia-->C,0,M,All Age,93,1
Anemia,CKD,Anemia-->CKD,0,All Sex,< 40,1,2
Anemia,CKD,Anemia-->CKD,0,All Sex,> 60,125,4
Anemia,CKD,Anemia-->CKD,0,All Sex,40 to 60,22,3
Anemia,CKD,Anemia-->CKD,0,All Sex,All Age,148,1
Anemia,CKD,Anemia-->CKD,0,F,> 60,77,4
Anemia,CKD,Anemia-->CKD,0,F,40 to 60,22,3
Anemia,CKD,Anemia-->CKD,0,F,All Age,99,1
Anemia,CKD,Anemia-->CKD,0,M,< 40,1,2
Anemia,CKD,Anemia-->CKD,0,M,> 60,48,4
Anemia,CKD,Anemia-->CKD,0,M,All Age,49,1
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,< 40,2,2
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,> 60,50,4
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,40 to 60,16,3
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,All Age,68,1
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,< 40,2,2
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,> 60,13,4
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,40 to 60,16,3
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,All Age,31,1
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,M,> 60,37,4
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,M,All Age,37,1
Anemia,COPD,Anemia-->COPD,0,All Sex,< 40,2,2
Anemia,COPD,Anemia-->COPD,0,All Sex,> 60,33,4
Anemia,COPD,Anemia-->COPD,0,All Sex,40 to 60,1,3
Anemia,COPD,Anemia-->COPD,0,All Sex,All Age,36,1
Anemia,COPD,Anemia-->COPD,0,F,< 40,1,2
Anemia,COPD,Anemia-->COPD,0,F,> 60,14,4
Anemia,COPD,Anemia-->COPD,0,F,All Age,15,1
Anemia,COPD,Anemia-->COPD,0,M,< 40,1,2
Anemia,COPD,Anemia-->COPD,0,M,> 60,19,4
Anemia,COPD,Anemia-->COPD,0,M,40 to 60,1,3
Anemia,COPD,Anemia-->COPD,0,M,All Age,21,1
Anemia,CVD,Anemia-->CVD,0,All Sex,< 40,2,2
Anemia,CVD,Anemia-->CVD,0,All Sex,> 60,185,4
Anemia,CVD,Anemia-->CVD,0,All Sex,40 to 60,32,3
Anemia,CVD,Anemia-->CVD,0,All Sex,All Age,219,1
Anemia,CVD,Anemia-->CVD,0,F,< 40,2,2
Anemia,CVD,Anemia-->CVD,0,F,> 60,108,4
Anemia,CVD,Anemia-->CVD,0,F,40 to 60,30,3
Anemia,CVD,Anemia-->CVD,0,F,All Age,140,1
Anemia,CVD,Anemia-->CVD,0,M,> 60,77,4
Anemia,CVD,Anemia-->CVD,0,M,40 to 60,2,3
Anemia,CVD,Anemia-->CVD,0,M,All Age,79,1
Anemia,D,Anemia-->D,0,All Sex,< 40,8,2
Anemia,D,Anemia-->D,0,All Sex,> 60,103,4
Anemia,D,Anemia-->D,0,All Sex,40 to 60,38,3
Anemia,D,Anemia-->D,0,All Sex,All Age,149,1
Anemia,D,Anemia-->D,0,F,< 40,7,2
Anemia,D,Anemia-->D,0,F,> 60,60,4
Anemia,D,Anemia-->D,0,F,40 to 60,33,3
Anemia,D,Anemia-->D,0,F,All Age,100,1
Anemia,D,Anemia-->D,0,M,< 40,1,2
Anemia,D,Anemia-->D,0,M,> 60,43,4
Anemia,D,Anemia-->D,0,M,40 to 60,5,3
Anemia,D,Anemia-->D,0,M,All Age,49,1
Anemia,Drugs,Anemia-->Drugs,0,All Sex,> 60,1,4
Anemia,Drugs,Anemia-->Drugs,0,All Sex,40 to 60,1,3
Anemia,Drugs,Anemia-->Drugs,0,All Sex,All Age,2,1
Anemia,Drugs,Anemia-->Drugs,0,F,40 to 60,1,3
Anemia,Drugs,Anemia-->Drugs,0,F,All Age,1,1
Anemia,Drugs,Anemia-->Drugs,0,M,> 60,1,4
Anemia,Drugs,Anemia-->Drugs,0,M,All Age,1,1
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,< 40,20,2
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,> 60,187,4
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,40 to 60,39,3
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,All Age,246,1
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,< 40,16,2
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,> 60,98,4
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,40 to 60,32,3
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,All Age,146,1
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,< 40,4,2
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,> 60,89,4
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,40 to 60,7,3
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,All Age,100,1
Anemia,G,Anemia-->G,0,All Sex,> 60,4,4
Anemia,G,Anemia-->G,0,All Sex,All Age,4,1
Anemia,G,Anemia-->G,0,M,> 60,4,4
Anemia,G,Anemia-->G,0,M,All Age,4,1
Anemia,HIV,Anemia-->HIV,0,All Sex,< 40,1,2
Anemia,HIV,Anemia-->HIV,0,All Sex,All Age,1,1
Anemia,HIV,Anemia-->HIV,0,F,< 40,1,2
Anemia,HIV,Anemia-->HIV,0,F,All Age,1,1
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,All Sex,< 40,4,2
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,All Sex,> 60,8,4
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,All Sex,40 to 60,7,3
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,All Sex,All Age,19,1
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,F,< 40,3,2
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,F,> 60,6,4
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,F,40 to 60,7,3
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,F,All Age,16,1
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,M,< 40,1,2
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,M,> 60,2,4
Anemia,Hypothyroid,Anemia-->Hypothyroid,0,M,All Age,3,1
Anemia,Liver,Anemia-->Liver,0,All Sex,< 40,8,2
Anemia,Liver,Anemia-->Liver,0,All Sex,> 60,15,4
Anemia,Liver,Anemia-->Liver,0,All Sex,40 to 60,31,3
Anemia,Liver,Anemia-->Liver,0,All Sex,All Age,54,1
Anemia,Liver,Anemia-->Liver,0,F,< 40,6,2
Anemia,Liver,Anemia-->Liver,0,F,> 60,6,4
Anemia,Liver,Anemia-->Liver,0,F,40 to 60,29,3
Anemia,Liver,Anemia-->Liver,0,F,All Age,41,1
Anemia,Liver,Anemia-->Liver,0,M,< 40,2,2
Anemia,Liver,Anemia-->Liver,0,M,> 60,9,4
Anemia,Liver,Anemia-->Liver,0,M,40 to 60,2,3
Anemia,Liver,Anemia-->Liver,0,M,All Age,13,1
Anemia,MHC,Anemia-->MHC,0,All Sex,< 40,11,2
Anemia,MHC,Anemia-->MHC,0,All Sex,> 60,104,4
Anemia,MHC,Anemia-->MHC,0,All Sex,40 to 60,6,3
Anemia,MHC,Anemia-->MHC,0,All Sex,All Age,121,1
Anemia,MHC,Anemia-->MHC,0,F,< 40,11,2
Anemia,MHC,Anemia-->MHC,0,F,> 60,79,4
