cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,instance,age_group_sort,develop_type,link,cases,MU,SD,prob,z,p,odds,odds_order,link_label,d_type_order
Alcohol,Anemia,Alcohol-->Anemia,0,All Sex,< 40,39,2,overall,383,4681,12.221932114882506,19.439538147229193,0.83,-27,0,Very Unlikely,1,Prob: 0.83% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,13,4,overall,493,25457,51.6369168356998,96.7984034517098,0.05,8.9,0,Very Likely,3,Prob: 0.05% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,> 60,13,4,from,21,412,19.61904761904762,22.63067871380836,3.16,1.3,0.195,Neutral,2,Prob: 3.16% | p: 0.195,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,2,3,overall,424,7246,17.089622641509433,32.90305964703321,0.03,9.4,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,40 to 60,2,3,from,17,336,19.764705882352942,23.282314671668455,0.6,3.1,0.006,Very Likely,3,Prob: 0.6% | p: 0.006,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,15,1,overall,539,34382,63.788497217068645,122.98907293230812,0.04,9.2,0,Very Likely,3,Prob: 0.04% | p: 0,2
Alcohol,Anemia,Alcohol-->Anemia,0,M,All Age,15,1,from,22,865,39.31818181818182,45.164657868141994,1.73,2.5,0.02,Very Likely,3,Prob: 1.73% | p: 0.02,2
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,9,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.4,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,All Sex,> 60,9,4,from,21,613,29.19047619047619,30.931568094131674,1.47,3,0.007,Very Likely,3,Prob: 1.47% | p: 0.007,2
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,2,3,overall,489,14713,30.0879345603272,52.87491461865575,0.01,11.7,0,Very Likely,3,Prob: 0.01% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,All Sex,40 to 60,2,3,from,21,625,29.761904761904763,38.17316434604913,0.32,3.3,0.003,Very Likely,3,Prob: 0.32% | p: 0.003,2
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,11,1,overall,577,69302,120.10745233968804,216.3153776332515,0.02,12.1,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,All Sex,All Age,11,1,from,22,1593,72.4090909090909,83.29103255390766,0.69,3.5,0.002,Very Likely,3,Prob: 0.69% | p: 0.002,2
Alcohol,AR,Alcohol-->AR,0,F,> 60,2,4,overall,508,24451,48.131889763779526,84.94760147771233,0.01,12.2,0,Very Likely,3,Prob: 0.01% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,F,> 60,2,4,from,18,201,11.166666666666666,10.755299651252646,1,3.6,0.002,Very Likely,3,Prob: 1% | p: 0.002,2
Alcohol,AR,Alcohol-->AR,0,F,All Age,2,1,overall,546,34920,63.956043956043956,105.21942947740376,0.01,13.8,0,Very Likely,3,Prob: 0.01% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,F,All Age,2,1,from,20,728,36.4,43.61964791479324,0.27,3.5,0.002,Very Likely,3,Prob: 0.27% | p: 0.002,2
Alcohol,AR,Alcohol-->AR,0,M,> 60,7,4,overall,493,25457,51.6369168356998,96.7984034517098,0.03,10.2,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,M,> 60,7,4,from,21,412,19.61904761904762,22.63067871380836,1.7,2.6,0.019,Very Likely,3,Prob: 1.7% | p: 0.019,2
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,2,3,overall,424,7246,17.089622641509433,32.90305964703321,0.03,9.4,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,M,40 to 60,2,3,from,17,336,19.764705882352942,23.282314671668455,0.6,3.1,0.006,Very Likely,3,Prob: 0.6% | p: 0.006,2
Alcohol,AR,Alcohol-->AR,0,M,All Age,9,1,overall,539,34382,63.788497217068645,122.98907293230812,0.03,10.3,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,AR,Alcohol-->AR,0,M,All Age,9,1,from,22,865,39.31818181818182,45.164657868141994,1.04,3.1,0.005,Very Likely,3,Prob: 1.04% | p: 0.005,2
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,4,2,overall,383,4681,12.221932114882506,19.439538147229193,0.09,8.3,0,Very Likely,3,Prob: 0.09% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,All Sex,< 40,4,2,from,16,355,22.1875,36.735484661745424,1.13,2,0.066,Very Likely,3,Prob: 1.13% | p: 0.066,2
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,11,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.1,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,All Sex,> 60,11,4,from,21,613,29.19047619047619,30.931568094131674,1.79,2.7,0.014,Very Likely,3,Prob: 1.79% | p: 0.014,2
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,8,3,overall,489,14713,30.0879345603272,52.87491461865575,0.05,9.2,0,Very Likely,3,Prob: 0.05% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,All Sex,40 to 60,8,3,from,21,625,29.761904761904763,38.17316434604913,1.28,2.6,0.017,Very Likely,3,Prob: 1.28% | p: 0.017,2
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,23,1,overall,577,69302,120.10745233968804,216.3153776332515,0.03,10.8,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,All Sex,All Age,23,1,from,22,1593,72.4090909090909,83.29103255390766,1.44,2.8,0.011,Very Likely,3,Prob: 1.44% | p: 0.011,2
Alcohol,AS,Alcohol-->AS,0,F,< 40,2,2,overall,335,3002,8.961194029850747,12.76790694169646,0.07,10,0,Very Likely,3,Prob: 0.07% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,F,< 40,2,2,from,15,238,15.866666666666667,24.674644784436005,0.84,2.2,0.047,Very Likely,3,Prob: 0.84% | p: 0.047,2
Alcohol,AS,Alcohol-->AS,0,F,> 60,10,4,overall,508,24451,48.131889763779526,84.94760147771233,0.04,10.1,0,Very Likely,3,Prob: 0.04% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,F,> 60,10,4,from,18,201,11.166666666666666,10.755299651252646,4.98,0.5,0.651,Neutral,2,Prob: 4.98% | p: 0.651,2
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,2,3,overall,424,7467,17.610849056603772,24.472534423744737,0.03,13.1,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,F,40 to 60,2,3,from,18,289,16.055555555555557,18.203012750712844,0.69,3.3,0.004,Very Likely,3,Prob: 0.69% | p: 0.004,2
Alcohol,AS,Alcohol-->AS,0,F,All Age,14,1,overall,546,34920,63.956043956043956,105.21942947740376,0.04,11.1,0,Very Likely,3,Prob: 0.04% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,F,All Age,14,1,from,20,728,36.4,43.61964791479324,1.92,2.3,0.033,Very Likely,3,Prob: 1.92% | p: 0.033,2
Alcohol,AS,Alcohol-->AS,0,M,< 40,2,2,overall,262,1679,6.408396946564886,9.638941915573069,0.12,7.4,0,Very Likely,3,Prob: 0.12% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,M,< 40,2,2,from,14,117,8.357142857142858,14.377370803063792,1.71,1.7,0.122,Neutral,2,Prob: 1.71% | p: 0.122,2
Alcohol,AS,Alcohol-->AS,0,M,> 60,1,4,overall,493,25457,51.6369168356998,96.7984034517098,0,11.6,0,Very Likely,3,Prob: 0% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,M,> 60,1,4,from,21,412,19.61904761904762,22.63067871380836,0.24,3.8,0.001,Very Likely,3,Prob: 0.24% | p: 0.001,2
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,6,3,overall,424,7246,17.089622641509433,32.90305964703321,0.08,6.9,0,Very Likely,3,Prob: 0.08% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,M,40 to 60,6,3,from,17,336,19.764705882352942,23.282314671668455,1.79,2.4,0.027,Very Likely,3,Prob: 1.79% | p: 0.027,2
Alcohol,AS,Alcohol-->AS,0,M,All Age,9,1,overall,539,34382,63.788497217068645,122.98907293230812,0.03,10.3,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,AS,Alcohol-->AS,0,M,All Age,9,1,from,22,865,39.31818181818182,45.164657868141994,1.04,3.1,0.005,Very Likely,3,Prob: 1.04% | p: 0.005,2
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,15,2,overall,383,4681,12.221932114882506,19.439538147229193,0.32,-2.8,0.005,Very Unlikely,1,Prob: 0.32% | p: 0.005,2
Alcohol,BP,Alcohol-->BP,0,All Sex,< 40,15,2,from,16,355,22.1875,36.735484661745424,4.23,0.8,0.446,Neutral,2,Prob: 4.23% | p: 0.446,2
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,13,4,overall,547,49908,91.23948811700183,169.02142194170352,0.03,10.8,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,All Sex,> 60,13,4,from,21,613,29.19047619047619,30.931568094131674,2.12,2.4,0.026,Very Likely,3,Prob: 2.12% | p: 0.026,2
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,30,3,overall,489,14713,30.0879345603272,52.87491461865575,0.2,0,0.971,Neutral,2,Prob: 0.2% | p: 0.971,2
Alcohol,BP,Alcohol-->BP,0,All Sex,40 to 60,30,3,from,21,625,29.761904761904763,38.17316434604913,4.8,-0,0.977,Neutral,2,Prob: 4.8% | p: 0.977,2
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,58,1,overall,577,69302,120.10745233968804,216.3153776332515,0.08,6.9,0,Very Likely,3,Prob: 0.08% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,All Sex,All Age,58,1,from,22,1593,72.4090909090909,83.29103255390766,3.64,0.8,0.426,Neutral,2,Prob: 3.64% | p: 0.426,2
Alcohol,BP,Alcohol-->BP,0,F,< 40,5,2,overall,335,3002,8.961194029850747,12.76790694169646,0.17,5.7,0,Very Likely,3,Prob: 0.17% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,F,< 40,5,2,from,15,238,15.866666666666667,24.674644784436005,2.1,1.7,0.11,Neutral,2,Prob: 2.1% | p: 0.11,2
Alcohol,BP,Alcohol-->BP,0,F,> 60,5,4,overall,508,24451,48.131889763779526,84.94760147771233,0.02,11.4,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,F,> 60,5,4,from,18,201,11.166666666666666,10.755299651252646,2.49,2.4,0.026,Very Likely,3,Prob: 2.49% | p: 0.026,2
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,14,3,overall,424,7467,17.610849056603772,24.472534423744737,0.19,3,0.003,Very Likely,3,Prob: 0.19% | p: 0.003,2
Alcohol,BP,Alcohol-->BP,0,F,40 to 60,14,3,from,18,289,16.055555555555557,18.203012750712844,4.84,0.5,0.638,Neutral,2,Prob: 4.84% | p: 0.638,2
Alcohol,BP,Alcohol-->BP,0,F,All Age,24,1,overall,546,34920,63.956043956043956,105.21942947740376,0.07,8.9,0,Very Likely,3,Prob: 0.07% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,F,All Age,24,1,from,20,728,36.4,43.61964791479324,3.3,1.3,0.219,Neutral,2,Prob: 3.3% | p: 0.219,2
Alcohol,BP,Alcohol-->BP,0,M,< 40,10,2,overall,262,1679,6.408396946564886,9.638941915573069,0.6,-6,0,Very Unlikely,1,Prob: 0.6% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,M,< 40,10,2,from,14,117,8.357142857142858,14.377370803063792,8.55,-0.4,0.676,Neutral,2,Prob: 8.55% | p: 0.676,2
Alcohol,BP,Alcohol-->BP,0,M,> 60,8,4,overall,493,25457,51.6369168356998,96.7984034517098,0.03,10,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,M,> 60,8,4,from,21,412,19.61904761904762,22.63067871380836,1.94,2.4,0.029,Very Likely,3,Prob: 1.94% | p: 0.029,2
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,16,3,overall,424,7246,17.089622641509433,32.90305964703321,0.22,0.7,0.496,Neutral,2,Prob: 0.22% | p: 0.496,2
Alcohol,BP,Alcohol-->BP,0,M,40 to 60,16,3,from,17,336,19.764705882352942,23.282314671668455,4.76,0.7,0.514,Neutral,2,Prob: 4.76% | p: 0.514,2
Alcohol,BP,Alcohol-->BP,0,M,All Age,34,1,overall,539,34382,63.788497217068645,122.98907293230812,0.1,5.6,0,Very Likely,3,Prob: 0.1% | p: 0,2
Alcohol,BP,Alcohol-->BP,0,M,All Age,34,1,from,22,865,39.31818181818182,45.164657868141994,3.93,0.6,0.587,Neutral,2,Prob: 3.93% | p: 0.587,2
Alcohol,C,Alcohol-->C,0,All Sex,< 40,3,2,overall,383,4681,12.221932114882506,19.439538147229193,0.06,9.3,0,Very Likely,3,Prob: 0.06% | p: 0,2
Alcohol,C,Alcohol-->C,0,All Sex,< 40,3,2,from,16,355,22.1875,36.735484661745424,0.85,2.1,0.054,Very Likely,3,Prob: 0.85% | p: 0.054,2
Alcohol,C,Alcohol-->C,0,All Sex,> 60,33,4,overall,547,49908,91.23948811700183,169.02142194170352,0.07,8.1,0,Very Likely,3,Prob: 0.07% | p: 0,2
Alcohol,C,Alcohol-->C,0,All Sex,> 60,33,4,from,21,613,29.19047619047619,30.931568094131674,5.38,-0.6,0.579,Neutral,2,Prob: 5.38% | p: 0.579,2
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,17,3,overall,489,14713,30.0879345603272,52.87491461865575,0.12,5.5,0,Very Likely,3,Prob: 0.12% | p: 0,2
Alcohol,C,Alcohol-->C,0,All Sex,40 to 60,17,3,from,21,625,29.761904761904763,38.17316434604913,2.72,1.5,0.141,Neutral,2,Prob: 2.72% | p: 0.141,2
Alcohol,C,Alcohol-->C,0,All Sex,All Age,53,1,overall,577,69302,120.10745233968804,216.3153776332515,0.08,7.5,0,Very Likely,3,Prob: 0.08% | p: 0,2
Alcohol,C,Alcohol-->C,0,All Sex,All Age,53,1,from,22,1593,72.4090909090909,83.29103255390766,3.33,1.1,0.287,Neutral,2,Prob: 3.33% | p: 0.287,2
Alcohol,C,Alcohol-->C,0,F,< 40,2,2,overall,335,3002,8.961194029850747,12.76790694169646,0.07,10,0,Very Likely,3,Prob: 0.07% | p: 0,2
Alcohol,C,Alcohol-->C,0,F,< 40,2,2,from,15,238,15.866666666666667,24.674644784436005,0.84,2.2,0.047,Very Likely,3,Prob: 0.84% | p: 0.047,2
Alcohol,C,Alcohol-->C,0,F,> 60,14,4,overall,508,24451,48.131889763779526,84.94760147771233,0.06,9.1,0,Very Likely,3,Prob: 0.06% | p: 0,2
Alcohol,C,Alcohol-->C,0,F,> 60,14,4,from,18,201,11.166666666666666,10.755299651252646,6.97,-1.1,0.279,Neutral,2,Prob: 6.97% | p: 0.279,2
Alcohol,C,Alcohol-->C,0,F,40 to 60,11,3,overall,424,7467,17.610849056603772,24.472534423744737,0.15,5.6,0,Very Likely,3,Prob: 0.15% | p: 0,2
Alcohol,C,Alcohol-->C,0,F,40 to 60,11,3,from,18,289,16.055555555555557,18.203012750712844,3.81,1.2,0.255,Neutral,2,Prob: 3.81% | p: 0.255,2
Alcohol,C,Alcohol-->C,0,F,All Age,27,1,overall,546,34920,63.956043956043956,105.21942947740376,0.08,8.2,0,Very Likely,3,Prob: 0.08% | p: 0,2
Alcohol,C,Alcohol-->C,0,F,All Age,27,1,from,20,728,36.4,43.61964791479324,3.71,1,0.347,Neutral,2,Prob: 3.71% | p: 0.347,2
Alcohol,C,Alcohol-->C,0,M,< 40,1,2,overall,262,1679,6.408396946564886,9.638941915573069,0.06,9.1,0,Very Likely,3,Prob: 0.06% | p: 0,2
Alcohol,C,Alcohol-->C,0,M,< 40,1,2,from,14,117,8.357142857142858,14.377370803063792,0.85,1.9,0.078,Neutral,2,Prob: 0.85% | p: 0.078,2
Alcohol,C,Alcohol-->C,0,M,> 60,19,4,overall,493,25457,51.6369168356998,96.7984034517098,0.07,7.5,0,Very Likely,3,Prob: 0.07% | p: 0,2
Alcohol,C,Alcohol-->C,0,M,> 60,19,4,from,21,412,19.61904761904762,22.63067871380836,4.61,0.1,0.901,Neutral,2,Prob: 4.61% | p: 0.901,2
Alcohol,C,Alcohol-->C,0,M,40 to 60,6,3,overall,424,7246,17.089622641509433,32.90305964703321,0.08,6.9,0,Very Likely,3,Prob: 0.08% | p: 0,2
Alcohol,C,Alcohol-->C,0,M,40 to 60,6,3,from,17,336,19.764705882352942,23.282314671668455,1.79,2.4,0.027,Very Likely,3,Prob: 1.79% | p: 0.027,2
Alcohol,C,Alcohol-->C,0,M,All Age,26,1,overall,539,34382,63.788497217068645,122.98907293230812,0.08,7.1,0,Very Likely,3,Prob: 0.08% | p: 0,2
Alcohol,C,Alcohol-->C,0,M,All Age,26,1,from,22,865,39.31818181818182,45.164657868141994,3.01,1.4,0.181,Neutral,2,Prob: 3.01% | p: 0.181,2
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,9,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.4,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,CKD,Alcohol-->CKD,0,All Sex,> 60,9,4,from,21,613,29.19047619047619,30.931568094131674,1.47,3,0.007,Very Likely,3,Prob: 1.47% | p: 0.007,2
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,6,3,overall,489,14713,30.0879345603272,52.87491461865575,0.04,10.1,0,Very Likely,3,Prob: 0.04% | p: 0,2
Alcohol,CKD,Alcohol-->CKD,0,All Sex,40 to 60,6,3,from,21,625,29.761904761904763,38.17316434604913,0.96,2.9,0.01,Very Likely,3,Prob: 0.96% | p: 0.01,2
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,15,1,overall,577,69302,120.10745233968804,216.3153776332515,0.02,11.7,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,CKD,Alcohol-->CKD,0,All Sex,All Age,15,1,from,22,1593,72.4090909090909,83.29103255390766,0.94,3.2,0.004,Very Likely,3,Prob: 0.94% | p: 0.004,2
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,6,3,overall,424,7467,17.610849056603772,24.472534423744737,0.08,9.8,0,Very Likely,3,Prob: 0.08% | p: 0,2
Alcohol,CKD,Alcohol-->CKD,0,F,40 to 60,6,3,from,18,289,16.055555555555557,18.203012750712844,2.08,2.3,0.032,Very Likely,3,Prob: 2.08% | p: 0.032,2
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,6,1,overall,546,34920,63.956043956043956,105.21942947740376,0.02,12.9,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,CKD,Alcohol-->CKD,0,F,All Age,6,1,from,20,728,36.4,43.61964791479324,0.82,3.1,0.006,Very Likely,3,Prob: 0.82% | p: 0.006,2
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,9,4,overall,493,25457,51.6369168356998,96.7984034517098,0.04,9.8,0,Very Likely,3,Prob: 0.04% | p: 0,2
Alcohol,CKD,Alcohol-->CKD,0,M,> 60,9,4,from,21,412,19.61904761904762,22.63067871380836,2.18,2.2,0.044,Very Likely,3,Prob: 2.18% | p: 0.044,2
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,9,1,overall,539,34382,63.788497217068645,122.98907293230812,0.03,10.3,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,CKD,Alcohol-->CKD,0,M,All Age,9,1,from,22,865,39.31818181818182,45.164657868141994,1.04,3.1,0.005,Very Likely,3,Prob: 1.04% | p: 0.005,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,1,2,overall,383,4681,12.221932114882506,19.439538147229193,0.02,11.3,0,Very Likely,3,Prob: 0.02% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,< 40,1,2,from,16,355,22.1875,36.735484661745424,0.28,2.3,0.036,Very Likely,3,Prob: 0.28% | p: 0.036,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,26,4,overall,547,49908,91.23948811700183,169.02142194170352,0.05,9,0,Very Likely,3,Prob: 0.05% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,> 60,26,4,from,21,613,29.19047619047619,30.931568094131674,4.24,0.5,0.642,Neutral,2,Prob: 4.24% | p: 0.642,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,8,3,overall,489,14713,30.0879345603272,52.87491461865575,0.05,9.2,0,Very Likely,3,Prob: 0.05% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,40 to 60,8,3,from,21,625,29.761904761904763,38.17316434604913,1.28,2.6,0.017,Very Likely,3,Prob: 1.28% | p: 0.017,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,35,1,overall,577,69302,120.10745233968804,216.3153776332515,0.05,9.5,0,Very Likely,3,Prob: 0.05% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,All Sex,All Age,35,1,from,22,1593,72.4090909090909,83.29103255390766,2.2,2.1,0.047,Very Likely,3,Prob: 2.2% | p: 0.047,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,1,2,overall,335,3002,8.961194029850747,12.76790694169646,0.03,11.4,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,< 40,1,2,from,15,238,15.866666666666667,24.674644784436005,0.42,2.3,0.035,Very Likely,3,Prob: 0.42% | p: 0.035,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,2,4,overall,508,24451,48.131889763779526,84.94760147771233,0.01,12.2,0,Very Likely,3,Prob: 0.01% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,> 60,2,4,from,18,201,11.166666666666666,10.755299651252646,1,3.6,0.002,Very Likely,3,Prob: 1% | p: 0.002,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,8,3,overall,424,7467,17.610849056603772,24.472534423744737,0.11,8.1,0,Very Likely,3,Prob: 0.11% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,40 to 60,8,3,from,18,289,16.055555555555557,18.203012750712844,2.77,1.9,0.078,Neutral,2,Prob: 2.77% | p: 0.078,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,11,1,overall,546,34920,63.956043956043956,105.21942947740376,0.03,11.8,0,Very Likely,3,Prob: 0.03% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,F,All Age,11,1,from,20,728,36.4,43.61964791479324,1.51,2.6,0.017,Very Likely,3,Prob: 1.51% | p: 0.017,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,24,4,overall,493,25457,51.6369168356998,96.7984034517098,0.09,6.3,0,Very Likely,3,Prob: 0.09% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,> 60,24,4,from,21,412,19.61904761904762,22.63067871380836,5.83,-0.9,0.386,Neutral,2,Prob: 5.83% | p: 0.386,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,24,1,overall,539,34382,63.788497217068645,122.98907293230812,0.07,7.5,0,Very Likely,3,Prob: 0.07% | p: 0,2
Alcohol,Coagulopathy,Alcohol-->Coagulopathy,0,M,All Age,24,1,from,22,865,39.31818181818182,45.164657868141994,2.77,1.6,0.127,Neutral,2,Prob: 2.77% | p: 0.127,2
Alcohol,COPD,Alcohol-->COPD,0,All Sex,> 60,11,4,overall,547,49908,91.23948811700183,169.02142194170352,0.02,11.1,0,Very Likely,3,Prob: 0.02% | p: 0,2
