from,to,width,color,title,gender,age_group,develop_year,is_significant,cd_from_to,significance,symbol,width_color
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.329 --</p>,F,< 40,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.353 --</p>,F,< 40,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.356 --</p>,F,< 40,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.347 --</p>,F,< 40,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.624 --</p>,F,> 60,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.624 --</p>,F,> 60,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.624 --</p>,F,> 60,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.616 --</p>,F,> 60,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.702 --</p>,F,40 to 60,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.636 --</p>,F,40 to 60,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.634 --</p>,F,40 to 60,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.637 --</p>,F,40 to 60,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.582 --</p>,F,All Age,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.571 --</p>,F,All Age,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.574 --</p>,F,All Age,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.568 --</p>,F,All Age,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.644 --</p>,M,> 60,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.644 --</p>,M,> 60,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.643 --</p>,M,> 60,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.640 --</p>,M,> 60,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.693 --</p>,M,40 to 60,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.680 --</p>,M,40 to 60,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.655 --</p>,M,40 to 60,All Years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.649 --</p>,M,All Age,Within 2 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.647 --</p>,M,All Age,Within 5 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.644 --</p>,M,All Age,Within 10 years,0,AR-->BP,Not Significant,--,a
AR,BP,1,#CA0020,<p><b>AR-->BP</b></p><p>P value: 0.636 --</p>,M,All Age,All Years,0,AR-->BP,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.707 --</p>,All Sex,< 40,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.694 --</p>,All Sex,< 40,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.696 --</p>,All Sex,< 40,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.664 --</p>,All Sex,< 40,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.607 --</p>,All Sex,> 60,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.544 --</p>,All Sex,> 60,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.532 --</p>,All Sex,> 60,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.510 --</p>,All Sex,> 60,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.661 --</p>,All Sex,40 to 60,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.588 --</p>,All Sex,40 to 60,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.468 --</p>,All Sex,40 to 60,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.382 --</p>,All Sex,40 to 60,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.616 --</p>,All Sex,All Age,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.547 --</p>,All Sex,All Age,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.510 --</p>,All Sex,All Age,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.469 --</p>,All Sex,All Age,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.721 --</p>,F,< 40,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.700 --</p>,F,< 40,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.702 --</p>,F,< 40,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.680 --</p>,F,< 40,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.614 --</p>,F,> 60,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.533 --</p>,F,> 60,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.530 --</p>,F,> 60,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.515 --</p>,F,> 60,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.718 --</p>,F,40 to 60,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.619 --</p>,F,40 to 60,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.430 --</p>,F,40 to 60,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.397 --</p>,F,40 to 60,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.627 --</p>,F,All Age,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.535 --</p>,F,All Age,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.491 --</p>,F,All Age,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.470 --</p>,F,All Age,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.712 --</p>,M,< 40,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.626 --</p>,M,> 60,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.585 --</p>,M,> 60,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.565 --</p>,M,> 60,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.540 --</p>,M,> 60,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.659 --</p>,M,40 to 60,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.617 --</p>,M,40 to 60,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.566 --</p>,M,40 to 60,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.441 --</p>,M,40 to 60,All Years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.620 --</p>,M,All Age,Within 2 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.579 --</p>,M,All Age,Within 5 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.552 --</p>,M,All Age,Within 10 years,0,AR-->C,Not Significant,--,a
AR,C,1,#CA0020,<p><b>AR-->C</b></p><p>P value: 0.496 --</p>,M,All Age,All Years,0,AR-->C,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.625 --</p>,All Sex,> 60,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.610 --</p>,All Sex,> 60,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.611 --</p>,All Sex,> 60,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.605 --</p>,All Sex,> 60,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.686 --</p>,All Sex,40 to 60,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.668 --</p>,All Sex,40 to 60,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.668 --</p>,All Sex,40 to 60,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.669 --</p>,All Sex,40 to 60,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.638 --</p>,All Sex,All Age,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.623 --</p>,All Sex,All Age,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.624 --</p>,All Sex,All Age,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.622 --</p>,All Sex,All Age,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.680 --</p>,F,> 60,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.647 --</p>,F,> 60,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.647 --</p>,F,> 60,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.639 --</p>,F,> 60,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.718 --</p>,F,40 to 60,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.685 --</p>,F,40 to 60,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.681 --</p>,F,40 to 60,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.682 --</p>,F,40 to 60,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.685 --</p>,F,All Age,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.652 --</p>,F,All Age,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.653 --</p>,F,All Age,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.648 --</p>,F,All Age,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.593 --</p>,M,> 60,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.598 --</p>,M,> 60,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.599 --</p>,M,> 60,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.596 --</p>,M,> 60,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.698 --</p>,M,40 to 60,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.693 --</p>,M,40 to 60,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.692 --</p>,M,40 to 60,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.687 --</p>,M,40 to 60,All Years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.605 --</p>,M,All Age,Within 2 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.610 --</p>,M,All Age,Within 5 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.612 --</p>,M,All Age,Within 10 years,0,AR-->COPD,Not Significant,--,a
AR,COPD,1,#CA0020,<p><b>AR-->COPD</b></p><p>P value: 0.611 --</p>,M,All Age,All Years,0,AR-->COPD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.649 --</p>,All Sex,< 40,Within 2 years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.656 --</p>,All Sex,< 40,Within 5 years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.658 --</p>,All Sex,< 40,Within 10 years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.625 --</p>,All Sex,< 40,All Years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.235 --</p>,All Sex,> 60,Within 2 years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.197 --</p>,All Sex,> 60,Within 5 years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.179 --</p>,All Sex,> 60,Within 10 years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.155 --</p>,All Sex,> 60,All Years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.408 --</p>,All Sex,40 to 60,Within 2 years,0,AR-->CVD,Not Significant,--,a
AR,CVD,1,#CA0020,<p><b>AR-->CVD</b></p><p>P value: 0.331 --</p>,All Sex,40 to 60,Within 5 years,0,AR-->CVD,Not Significant,--,a
