cd_from,cd_to,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,instance
Alcohol,Liver,0,1,0,1,0,1,0,1,1,1,1,1,37
Alcohol,Liver,0,1,0,1,1,0,0,1,0,1,1,1,1
Alcohol,Liver,0,1,0,1,1,0,0,1,1,1,1,1,4
Alcohol,MHC,0,0,1,1,0,0,1,1,1,1,1,1,21
Alcohol,MHC,0,0,1,1,0,1,0,1,0,1,1,1,2
Alcohol,MHC,0,0,1,1,0,1,0,1,1,1,1,1,89
Alcohol,MHC,0,0,1,1,1,0,0,1,0,1,1,1,1
Alcohol,MHC,0,0,1,1,1,0,0,1,1,1,1,1,49
Alcohol,MHC,0,1,0,1,0,0,1,1,0,0,0,1,2
Alcohol,MHC,0,1,0,1,0,0,1,1,1,1,1,1,22
Alcohol,MHC,0,1,0,1,0,1,0,1,0,0,0,1,2
Alcohol,MHC,0,1,0,1,0,1,0,1,0,1,1,1,2
Alcohol,MHC,0,1,0,1,0,1,0,1,1,1,1,1,73
Alcohol,MHC,0,1,0,1,1,0,0,1,0,0,0,1,3
Alcohol,MHC,0,1,0,1,1,0,0,1,1,1,1,1,84
Alcohol,NeuroOther,0,0,1,1,0,0,1,1,1,1,1,1,12
Alcohol,NeuroOther,0,0,1,1,0,1,0,1,1,1,1,1,13
Alcohol,NeuroOther,0,0,1,1,1,0,0,1,0,0,0,1,1
Alcohol,NeuroOther,0,0,1,1,1,0,0,1,1,1,1,1,1
Alcohol,NeuroOther,0,1,0,1,0,0,1,1,0,0,0,1,1
Alcohol,NeuroOther,0,1,0,1,0,0,1,1,1,1,1,1,2
Alcohol,NeuroOther,0,1,0,1,0,1,0,1,0,0,0,1,1
Alcohol,NeuroOther,0,1,0,1,0,1,0,1,1,1,1,1,7
Alcohol,NeuroOther,0,1,0,1,1,0,0,1,0,1,1,1,1
Alcohol,Obesity,0,0,1,1,0,0,1,1,1,1,1,1,3
Alcohol,Obesity,0,0,1,1,0,1,0,1,1,1,1,1,3
Alcohol,Obesity,0,0,1,1,1,0,0,1,0,1,1,1,1
Alcohol,Obesity,0,0,1,1,1,0,0,1,1,1,1,1,1
Alcohol,Obesity,0,1,0,1,0,0,1,1,1,1,1,1,6
Alcohol,Obesity,0,1,0,1,0,1,0,1,0,0,0,1,1
Alcohol,Obesity,0,1,0,1,0,1,0,1,1,1,1,1,7
Alcohol,Obesity,0,1,0,1,1,0,0,1,0,1,1,1,2
Alcohol,Obesity,0,1,0,1,1,0,0,1,1,1,1,1,22
Alcohol,Osteo,0,0,1,1,0,0,1,1,0,1,1,1,1
Alcohol,Osteo,0,0,1,1,0,0,1,1,1,1,1,1,6
Alcohol,Osteo,0,1,0,1,0,0,1,1,0,1,1,1,2
Alcohol,Osteo,0,1,0,1,0,0,1,1,1,1,1,1,8
Alcohol,Osteo,0,1,0,1,0,1,0,1,1,1,1,1,12
Alcohol,Paralysis,0,0,1,1,0,0,1,1,1,1,1,1,8
Alcohol,Paralysis,0,0,1,1,0,1,0,1,1,1,1,1,4
Alcohol,PUD,0,0,1,1,0,0,1,1,1,1,1,1,1
Alcohol,PUD,0,0,1,1,0,1,0,1,1,1,1,1,3
Alcohol,PUD,0,1,0,1,0,0,1,1,1,1,1,1,1
Alcohol,PUD,0,1,0,1,0,1,0,1,1,1,1,1,12
Alcohol,WeightLoss,0,0,1,1,0,0,1,1,1,1,1,1,28
Alcohol,WeightLoss,0,0,1,1,0,1,0,1,0,0,0,1,2
Alcohol,WeightLoss,0,0,1,1,0,1,0,1,0,1,1,1,2
Alcohol,WeightLoss,0,0,1,1,0,1,0,1,1,1,1,1,18
Alcohol,WeightLoss,0,0,1,1,1,0,0,1,0,0,0,1,1
Alcohol,WeightLoss,0,0,1,1,1,0,0,1,1,1,1,1,1
Alcohol,WeightLoss,0,1,0,1,0,0,1,1,0,1,1,1,2
Alcohol,WeightLoss,0,1,0,1,0,0,1,1,1,1,1,1,4
Alcohol,WeightLoss,0,1,0,1,0,1,0,1,0,1,1,1,1
Alcohol,WeightLoss,0,1,0,1,0,1,0,1,1,1,1,1,7
Alcohol,WeightLoss,0,1,0,1,1,0,0,1,0,1,1,1,1
Anemia,Alcohol,0,0,1,1,0,0,1,1,1,1,1,1,9
Anemia,Alcohol,0,0,1,1,0,1,0,1,1,1,1,1,1
Anemia,Alcohol,0,1,0,1,0,0,1,1,1,1,1,1,10
Anemia,Alcohol,0,1,0,1,0,1,0,1,0,0,1,1,1
Anemia,Alcohol,0,1,0,1,0,1,0,1,0,1,1,1,2
Anemia,Alcohol,0,1,0,1,0,1,0,1,1,1,1,1,16
Anemia,AR,0,0,1,1,0,0,1,1,1,1,1,1,5
Anemia,AR,0,0,1,1,0,1,0,1,1,1,1,1,2
Anemia,AR,0,1,0,1,0,0,1,1,0,1,1,1,1
Anemia,AR,0,1,0,1,0,0,1,1,1,1,1,1,7
Anemia,AR,0,1,0,1,0,1,0,1,0,1,1,1,1
Anemia,AR,0,1,0,1,1,0,0,1,1,1,1,1,2
Anemia,AS,0,0,1,1,0,0,1,1,0,1,1,1,1
Anemia,AS,0,0,1,1,0,1,0,1,1,1,1,1,1
Anemia,AS,0,1,0,1,0,0,1,1,1,1,1,1,12
Anemia,AS,0,1,0,1,0,1,0,1,0,0,0,1,1
Anemia,AS,0,1,0,1,0,1,0,1,0,1,1,1,6
Anemia,AS,0,1,0,1,1,0,0,1,1,1,1,1,8
Anemia,BloodLoss,0,0,1,1,0,0,1,1,1,1,1,1,3
Anemia,BloodLoss,0,0,1,1,0,1,0,1,0,1,1,1,1
Anemia,BloodLoss,0,0,1,1,0,1,0,1,1,1,1,1,5
Anemia,BloodLoss,0,1,0,1,0,0,1,1,0,1,1,1,10
Anemia,BloodLoss,0,1,0,1,0,0,1,1,1,1,1,1,5
Anemia,BloodLoss,0,1,0,1,0,1,0,1,0,1,1,1,1
Anemia,BloodLoss,0,1,0,1,0,1,0,1,1,1,1,1,4
Anemia,BloodLoss,0,1,0,1,1,0,0,1,0,1,1,1,1
Anemia,BloodLoss,0,1,0,1,1,0,0,1,1,1,1,1,1
Anemia,BP,0,0,1,1,0,0,1,1,0,1,1,1,2
Anemia,BP,0,0,1,1,0,0,1,1,1,1,1,1,16
Anemia,BP,0,1,0,1,0,0,1,1,0,0,0,1,1
Anemia,BP,0,1,0,1,0,0,1,1,1,1,1,1,10
Anemia,BP,0,1,0,1,0,1,0,1,0,1,1,1,2
Anemia,BP,0,1,0,1,0,1,0,1,1,1,1,1,2
Anemia,BP,0,1,0,1,1,0,0,1,1,1,1,1,2
Anemia,C,0,0,1,1,0,0,1,1,0,1,1,1,5
Anemia,C,0,0,1,1,0,0,1,1,1,1,1,1,78
Anemia,C,0,0,1,1,0,1,0,1,0,0,0,1,1
Anemia,C,0,0,1,1,0,1,0,1,0,1,1,1,2
Anemia,C,0,0,1,1,0,1,0,1,1,1,1,1,7
Anemia,C,0,1,0,1,0,0,1,1,0,0,0,1,3
Anemia,C,0,1,0,1,0,0,1,1,0,0,1,1,2
Anemia,C,0,1,0,1,0,0,1,1,0,1,1,1,2
Anemia,C,0,1,0,1,0,0,1,1,1,1,1,1,46
Anemia,C,0,1,0,1,0,1,0,1,0,0,0,1,1
Anemia,C,0,1,0,1,0,1,0,1,0,0,1,1,2
Anemia,C,0,1,0,1,0,1,0,1,0,1,1,1,1
Anemia,C,0,1,0,1,0,1,0,1,1,1,1,1,14
Anemia,C,0,1,0,1,1,0,0,1,0,0,0,1,1
Anemia,C,0,1,0,1,1,0,0,1,1,1,1,1,3
Anemia,CKD,0,0,1,1,0,0,1,1,1,1,1,1,48
Anemia,CKD,0,0,1,1,1,0,0,1,1,1,1,1,1
Anemia,CKD,0,1,0,1,0,0,1,1,0,1,1,1,2
Anemia,CKD,0,1,0,1,0,0,1,1,1,1,1,1,75
Anemia,CKD,0,1,0,1,0,1,0,1,0,0,0,1,1
Anemia,CKD,0,1,0,1,0,1,0,1,1,1,1,1,21
Anemia,Coagulopathy,0,0,1,1,0,0,1,1,0,1,1,1,2
Anemia,Coagulopathy,0,0,1,1,0,0,1,1,1,1,1,1,35
Anemia,Coagulopathy,0,1,0,1,0,0,1,1,1,1,1,1,13
Anemia,Coagulopathy,0,1,0,1,0,1,0,1,0,1,1,1,1
Anemia,Coagulopathy,0,1,0,1,0,1,0,1,1,1,1,1,15
Anemia,Coagulopathy,0,1,0,1,1,0,0,1,1,1,1,1,2
Anemia,COPD,0,0,1,1,0,0,1,1,0,1,1,1,1
Anemia,COPD,0,0,1,1,0,0,1,1,1,1,1,1,18
Anemia,COPD,0,0,1,1,0,1,0,1,1,1,1,1,1
Anemia,COPD,0,0,1,1,1,0,0,1,1,1,1,1,1
Anemia,COPD,0,1,0,1,0,0,1,1,1,1,1,1,14
Anemia,COPD,0,1,0,1,1,0,0,1,1,1,1,1,1
Anemia,CVD,0,0,1,1,0,0,1,1,0,0,0,1,2
Anemia,CVD,0,0,1,1,0,0,1,1,0,0,1,1,1
Anemia,CVD,0,0,1,1,0,0,1,1,0,1,1,1,2
Anemia,CVD,0,0,1,1,0,0,1,1,1,1,1,1,72
Anemia,CVD,0,0,1,1,0,1,0,1,0,1,1,1,1
Anemia,CVD,0,0,1,1,0,1,0,1,1,1,1,1,1
Anemia,CVD,0,1,0,1,0,0,1,1,0,0,0,1,2
Anemia,CVD,0,1,0,1,0,0,1,1,0,0,1,1,2
Anemia,CVD,0,1,0,1,0,0,1,1,0,1,1,1,11
Anemia,CVD,0,1,0,1,0,0,1,1,1,1,1,1,93
Anemia,CVD,0,1,0,1,0,1,0,1,0,0,0,1,2
Anemia,CVD,0,1,0,1,0,1,0,1,0,1,1,1,2
Anemia,CVD,0,1,0,1,0,1,0,1,1,1,1,1,26
Anemia,CVD,0,1,0,1,1,0,0,1,1,1,1,1,2
Anemia,D,0,0,1,1,0,0,1,1,1,1,1,1,43
Anemia,D,0,0,1,1,0,1,0,1,0,0,0,1,1
Anemia,D,0,0,1,1,0,1,0,1,1,1,1,1,4
Anemia,D,0,0,1,1,1,0,0,1,1,1,1,1,1
Anemia,D,0,1,0,1,0,0,1,1,0,1,1,1,1
Anemia,D,0,1,0,1,0,0,1,1,1,1,1,1,59
Anemia,D,0,1,0,1,0,1,0,1,0,0,1,1,1
Anemia,D,0,1,0,1,0,1,0,1,0,1,1,1,8
Anemia,D,0,1,0,1,0,1,0,1,1,1,1,1,24
Anemia,D,0,1,0,1,1,0,0,1,0,1,1,1,1
Anemia,D,0,1,0,1,1,0,0,1,1,1,1,1,6
Anemia,Drugs,0,0,1,1,0,0,1,1,1,1,1,1,1
Anemia,Drugs,0,1,0,1,0,1,0,1,0,1,1,1,1
Anemia,FluidsLytes,0,0,1,1,0,0,1,1,0,1,1,1,2
Anemia,FluidsLytes,0,0,1,1,0,0,1,1,1,1,1,1,87
Anemia,FluidsLytes,0,0,1,1,0,1,0,1,1,1,1,1,7
Anemia,FluidsLytes,0,0,1,1,1,0,0,1,1,1,1,1,4
Anemia,FluidsLytes,0,1,0,1,0,0,1,1,0,0,1,1,1
Anemia,FluidsLytes,0,1,0,1,0,0,1,1,0,1,1,1,11
Anemia,FluidsLytes,0,1,0,1,0,0,1,1,1,1,1,1,86
Anemia,FluidsLytes,0,1,0,1,0,1,0,1,0,0,0,1,1
Anemia,FluidsLytes,0,1,0,1,0,1,0,1,0,1,1,1,5
Anemia,FluidsLytes,0,1,0,1,0,1,0,1,1,1,1,1,26
Anemia,FluidsLytes,0,1,0,1,1,0,0,1,0,0,0,1,1
Anemia,FluidsLytes,0,1,0,1,1,0,0,1,0,1,1,1,1
Anemia,FluidsLytes,0,1,0,1,1,0,0,1,1,1,1,1,14
Anemia,G,0,0,1,1,0,0,1,1,0,1,1,1,2
Anemia,G,0,0,1,1,0,0,1,1,1,1,1,1,2
Anemia,HIV,0,1,0,1,1,0,0,1,1,1,1,1,1
Anemia,Hypothyroid,0,0,1,1,0,0,1,1,1,1,1,1,2
Anemia,Hypothyroid,0,0,1,1,1,0,0,1,1,1,1,1,1
Anemia,Hypothyroid,0,1,0,1,0,0,1,1,0,1,1,1,6
Anemia,Hypothyroid,0,1,0,1,0,1,0,1,0,1,1,1,6
Anemia,Hypothyroid,0,1,0,1,0,1,0,1,1,1,1,1,1
Anemia,Hypothyroid,0,1,0,1,1,0,0,1,1,1,1,1,3
Anemia,Liver,0,0,1,1,0,0,1,1,1,1,1,1,9
Anemia,Liver,0,0,1,1,0,1,0,1,1,1,1,1,2
Anemia,Liver,0,0,1,1,1,0,0,1,1,1,1,1,2
Anemia,Liver,0,1,0,1,0,0,1,1,0,1,1,1,1
Anemia,Liver,0,1,0,1,0,0,1,1,1,1,1,1,5
Anemia,Liver,0,1,0,1,0,1,0,1,1,1,1,1,29
Anemia,Liver,0,1,0,1,1,0,0,1,0,1,1,1,1
Anemia,Liver,0,1,0,1,1,0,0,1,1,1,1,1,5
Anemia,MHC,0,0,1,1,0,0,1,1,1,1,1,1,25
Anemia,MHC,0,0,1,1,0,1,0,1,0,1,1,1,1
Anemia,MHC,0,1,0,1,0,0,1,1,1,1,1,1,79
Anemia,MHC,0,1,0,1,0,1,0,1,0,0,0,1,1
Anemia,MHC,0,1,0,1,0,1,0,1,0,1,1,1,1
Anemia,MHC,0,1,0,1,0,1,0,1,1,1,1,1,3
Anemia,MHC,0,1,0,1,1,0,0,1,0,0,1,1,3
Anemia,MHC,0,1,0,1,1,0,0,1,0,1,1,1,2
Anemia,MHC,0,1,0,1,1,0,0,1,1,1,1,1,6
Anemia,NeuroOther,0,0,1,1,0,0,1,1,0,1,1,1,1
Anemia,NeuroOther,0,0,1,1,0,0,1,1,1,1,1,1,18
Anemia,NeuroOther,0,0,1,1,0,1,0,1,0,1,1,1,2
Anemia,NeuroOther,0,1,0,1,0,0,1,1,0,0,0,1,1
Anemia,NeuroOther,0,1,0,1,0,0,1,1,1,1,1,1,17
Anemia,NeuroOther,0,1,0,1,0,1,0,1,0,0,1,1,1
Anemia,NeuroOther,0,1,0,1,0,1,0,1,0,1,1,1,2
Anemia,NeuroOther,0,1,0,1,0,1,0,1,1,1,1,1,3
Anemia,NeuroOther,0,1,0,1,1,0,0,1,0,0,1,1,2
Anemia,Obesity,0,0,1,1,0,0,1,1,1,1,1,1,8
Anemia,Obesity,0,0,1,1,0,1,0,1,1,1,1,1,1
Anemia,Obesity,0,1,0,1,0,0,1,1,1,1,1,1,8
Anemia,Obesity,0,1,0,1,0,1,0,1,0,0,0,1,1
Anemia,Obesity,0,1,0,1,0,1,0,1,0,1,1,1,5
Anemia,Obesity,0,1,0,1,0,1,0,1,1,1,1,1,12
Anemia,Obesity,0,1,0,1,1,0,0,1,0,0,1,1,2
Anemia,Obesity,0,1,0,1,1,0,0,1,1,1,1,1,5
Anemia,Osteo,0,0,1,1,0,0,1,1,1,1,1,1,1
Anemia,Osteo,0,1,0,1,0,0,1,1,0,0,1,1,3
Anemia,Osteo,0,1,0,1,0,0,1,1,0,1,1,1,1
Anemia,Osteo,0,1,0,1,0,0,1,1,1,1,1,1,10
Anemia,Osteo,0,1,0,1,0,1,0,1,1,1,1,1,1
Anemia,Paralysis,0,0,1,1,0,0,1,1,0,1,1,1,1
Anemia,Paralysis,0,0,1,1,0,0,1,1,1,1,1,1,52
Anemia,Paralysis,0,1,0,1,0,0,1,1,1,1,1,1,7
Anemia,PUD,0,0,1,1,0,0,1,1,1,1,1,1,11
Anemia,PUD,0,0,1,1,0,1,0,1,1,1,1,1,2
Anemia,PUD,0,1,0,1,0,0,1,1,1,1,1,1,15
Anemia,PUD,0,1,0,1,0,1,0,1,0,1,1,1,7
Anemia,PUD,0,1,0,1,0,1,0,1,1,1,1,1,18
Anemia,WeightLoss,0,0,1,1,0,0,1,1,1,1,1,1,36
Anemia,WeightLoss,0,0,1,1,0,1,0,1,0,0,1,1,2
Anemia,WeightLoss,0,0,1,1,0,1,0,1,1,1,1,1,3
Anemia,WeightLoss,0,1,0,1,0,0,1,1,0,1,1,1,1
Anemia,WeightLoss,0,1,0,1,0,0,1,1,1,1,1,1,31
Anemia,WeightLoss,0,1,0,1,0,1,0,1,0,0,0,1,1
Anemia,WeightLoss,0,1,0,1,0,1,0,1,0,0,1,1,1
Anemia,WeightLoss,0,1,0,1,0,1,0,1,0,1,1,1,2
Anemia,WeightLoss,0,1,0,1,0,1,0,1,1,1,1,1,6
Anemia,WeightLoss,0,1,0,1,1,0,0,1,0,0,1,1,2
Anemia,WeightLoss,0,1,0,1,1,0,0,1,1,1,1,1,6
AR,Alcohol,0,0,1,1,0,0,1,1,0,0,0,1,2
AR,Alcohol,0,0,1,1,0,1,0,1,0,0,0,1,1
AR,Alcohol,0,0,1,1,0,1,0,1,1,1,1,1,3
AR,Alcohol,0,1,0,1,0,0,1,1,1,1,1,1,1
AR,Alcohol,0,1,0,1,0,1,0,1,0,0,1,1,1
AR,Alcohol,0,1,0,1,1,0,0,1,1,1,1,1,12
AR,Anemia,0,0,1,1,0,0,1,1,1,1,1,1,9
AR,Anemia,0,0,1,1,0,1,0,1,0,0,0,1,2
AR,Anemia,0,1,0,1,0,0,1,1,0,0,0,1,3
AR,Anemia,0,1,0,1,0,0,1,1,0,0,1,1,1
AR,Anemia,0,1,0,1,0,0,1,1,0,1,1,1,12
AR,Anemia,0,1,0,1,0,0,1,1,1,1,1,1,8
AR,Anemia,0,1,0,1,0,1,0,1,0,0,0,1,2
AR,Anemia,0,1,0,1,0,1,0,1,0,1,1,1,1
AR,AS,1,0,1,1,0,0,1,1,1,1,1,1,18
AR,AS,1,0,1,1,0,1,0,1,0,1,1,1,1
AR,AS,1,0,1,1,0,1,0,1,1,1,1,1,2
AR,AS,1,1,0,1,0,0,1,1,0,1,1,1,3
AR,AS,1,1,0,1,0,0,1,1,1,1,1,1,49
AR,AS,1,1,0,1,0,1,0,1,1,1,1,1,6
AR,AS,1,1,0,1,1,0,0,1,0,1,1,1,1
AR,AS,1,1,0,1,1,0,0,1,1,1,1,1,4
AR,BloodLoss,0,0,1,1,0,0,1,1,1,1,1,1,2
AR,BloodLoss,0,1,0,1,0,0,1,1,0,1,1,1,1
AR,BloodLoss,0,1,0,1,0,0,1,1,1,1,1,1,2
AR,BP,1,0,1,1,0,0,1,1,0,0,0,1,1
