cd_from,cd_to,cd_from_to,is_chronic_path,gender,age_group,data_use,instance
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,< 40,Age Group,2
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,> 60,Age Group,12
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,40 to 60,Age Group,13
Alcohol,NeuroOther,Alcohol-->NeuroOther,0,M,All Age,Age Group,27
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,< 40,Age Group,26
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,> 60,Age Group,9
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,40 to 60,Age Group,11
Alcohol,Obesity,Alcohol-->Obesity,0,All Sex,All Age,Age Group,46
Alcohol,Obesity,Alcohol-->Obesity,0,F,< 40,Age Group,24
Alcohol,Obesity,Alcohol-->Obesity,0,F,> 60,Age Group,6
Alcohol,Obesity,Alcohol-->Obesity,0,F,40 to 60,Age Group,8
Alcohol,Obesity,Alcohol-->Obesity,0,F,All Age,Age Group,38
Alcohol,Obesity,Alcohol-->Obesity,0,M,< 40,Age Group,2
Alcohol,Obesity,Alcohol-->Obesity,0,M,> 60,Age Group,3
Alcohol,Obesity,Alcohol-->Obesity,0,M,40 to 60,Age Group,3
Alcohol,Obesity,Alcohol-->Obesity,0,M,All Age,Age Group,8
Alcohol,Osteo,Alcohol-->Osteo,0,All Sex,> 60,Age Group,17
Alcohol,Osteo,Alcohol-->Osteo,0,All Sex,40 to 60,Age Group,12
Alcohol,Osteo,Alcohol-->Osteo,0,All Sex,All Age,Age Group,29
Alcohol,Osteo,Alcohol-->Osteo,0,F,> 60,Age Group,10
Alcohol,Osteo,Alcohol-->Osteo,0,F,40 to 60,Age Group,12
Alcohol,Osteo,Alcohol-->Osteo,0,F,All Age,Age Group,22
Alcohol,Osteo,Alcohol-->Osteo,0,M,> 60,Age Group,7
Alcohol,Osteo,Alcohol-->Osteo,0,M,All Age,Age Group,7
Alcohol,Paralysis,Alcohol-->Paralysis,0,All Sex,> 60,Age Group,8
Alcohol,Paralysis,Alcohol-->Paralysis,0,All Sex,40 to 60,Age Group,4
Alcohol,Paralysis,Alcohol-->Paralysis,0,All Sex,All Age,Age Group,12
Alcohol,Paralysis,Alcohol-->Paralysis,0,M,> 60,Age Group,8
Alcohol,Paralysis,Alcohol-->Paralysis,0,M,40 to 60,Age Group,4
Alcohol,Paralysis,Alcohol-->Paralysis,0,M,All Age,Age Group,12
Alcohol,PUD,Alcohol-->PUD,0,All Sex,> 60,Age Group,2
Alcohol,PUD,Alcohol-->PUD,0,All Sex,40 to 60,Age Group,15
Alcohol,PUD,Alcohol-->PUD,0,All Sex,All Age,Age Group,17
Alcohol,PUD,Alcohol-->PUD,0,F,> 60,Age Group,1
Alcohol,PUD,Alcohol-->PUD,0,F,40 to 60,Age Group,12
Alcohol,PUD,Alcohol-->PUD,0,F,All Age,Age Group,13
Alcohol,PUD,Alcohol-->PUD,0,M,> 60,Age Group,1
Alcohol,PUD,Alcohol-->PUD,0,M,40 to 60,Age Group,3
Alcohol,PUD,Alcohol-->PUD,0,M,All Age,Age Group,4
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,< 40,Age Group,3
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,> 60,Age Group,34
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,40 to 60,Age Group,30
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,All Sex,All Age,Age Group,67
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,< 40,Age Group,1
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,> 60,Age Group,6
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,40 to 60,Age Group,8
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,F,All Age,Age Group,15
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,< 40,Age Group,2
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,> 60,Age Group,28
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,40 to 60,Age Group,22
Alcohol,WeightLoss,Alcohol-->WeightLoss,0,M,All Age,Age Group,52
Anemia,Alcohol,Anemia-->Alcohol,0,All Sex,> 60,Age Group,19
Anemia,Alcohol,Anemia-->Alcohol,0,All Sex,40 to 60,Age Group,20
Anemia,Alcohol,Anemia-->Alcohol,0,All Sex,All Age,Age Group,39
Anemia,Alcohol,Anemia-->Alcohol,0,F,> 60,Age Group,10
Anemia,Alcohol,Anemia-->Alcohol,0,F,40 to 60,Age Group,19
Anemia,Alcohol,Anemia-->Alcohol,0,F,All Age,Age Group,29
Anemia,Alcohol,Anemia-->Alcohol,0,M,> 60,Age Group,9
Anemia,Alcohol,Anemia-->Alcohol,0,M,40 to 60,Age Group,1
Anemia,Alcohol,Anemia-->Alcohol,0,M,All Age,Age Group,10
Anemia,AR,Anemia-->AR,0,All Sex,< 40,Age Group,2
Anemia,AR,Anemia-->AR,0,All Sex,> 60,Age Group,13
Anemia,AR,Anemia-->AR,0,All Sex,40 to 60,Age Group,3
Anemia,AR,Anemia-->AR,0,All Sex,All Age,Age Group,18
Anemia,AR,Anemia-->AR,0,F,< 40,Age Group,2
Anemia,AR,Anemia-->AR,0,F,> 60,Age Group,8
Anemia,AR,Anemia-->AR,0,F,40 to 60,Age Group,1
Anemia,AR,Anemia-->AR,0,F,All Age,Age Group,11
Anemia,AR,Anemia-->AR,0,M,> 60,Age Group,5
Anemia,AR,Anemia-->AR,0,M,40 to 60,Age Group,2
Anemia,AR,Anemia-->AR,0,M,All Age,Age Group,7
Anemia,AS,Anemia-->AS,0,All Sex,< 40,Age Group,8
Anemia,AS,Anemia-->AS,0,All Sex,> 60,Age Group,13
Anemia,AS,Anemia-->AS,0,All Sex,40 to 60,Age Group,8
Anemia,AS,Anemia-->AS,0,All Sex,All Age,Age Group,29
Anemia,AS,Anemia-->AS,0,F,< 40,Age Group,8
Anemia,AS,Anemia-->AS,0,F,> 60,Age Group,12
Anemia,AS,Anemia-->AS,0,F,40 to 60,Age Group,7
Anemia,AS,Anemia-->AS,0,F,All Age,Age Group,27
Anemia,AS,Anemia-->AS,0,M,> 60,Age Group,1
Anemia,AS,Anemia-->AS,0,M,40 to 60,Age Group,1
Anemia,AS,Anemia-->AS,0,M,All Age,Age Group,2
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,< 40,Age Group,2
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,> 60,Age Group,18
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,40 to 60,Age Group,11
Anemia,BloodLoss,Anemia-->BloodLoss,0,All Sex,All Age,Age Group,31
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,< 40,Age Group,2
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,> 60,Age Group,15
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,40 to 60,Age Group,5
Anemia,BloodLoss,Anemia-->BloodLoss,0,F,All Age,Age Group,22
Anemia,BloodLoss,Anemia-->BloodLoss,0,M,> 60,Age Group,3
Anemia,BloodLoss,Anemia-->BloodLoss,0,M,40 to 60,Age Group,6
Anemia,BloodLoss,Anemia-->BloodLoss,0,M,All Age,Age Group,9
Anemia,BP,Anemia-->BP,0,All Sex,< 40,Age Group,2
Anemia,BP,Anemia-->BP,0,All Sex,> 60,Age Group,29
Anemia,BP,Anemia-->BP,0,All Sex,40 to 60,Age Group,4
Anemia,BP,Anemia-->BP,0,All Sex,All Age,Age Group,35
Anemia,BP,Anemia-->BP,0,F,< 40,Age Group,2
Anemia,BP,Anemia-->BP,0,F,> 60,Age Group,11
Anemia,BP,Anemia-->BP,0,F,40 to 60,Age Group,4
Anemia,BP,Anemia-->BP,0,F,All Age,Age Group,17
Anemia,BP,Anemia-->BP,0,M,> 60,Age Group,18
Anemia,BP,Anemia-->BP,0,M,All Age,Age Group,18
Anemia,C,Anemia-->C,0,All Sex,< 40,Age Group,4
Anemia,C,Anemia-->C,0,All Sex,> 60,Age Group,136
Anemia,C,Anemia-->C,0,All Sex,40 to 60,Age Group,28
Anemia,C,Anemia-->C,0,All Sex,All Age,Age Group,168
Anemia,C,Anemia-->C,0,F,< 40,Age Group,4
Anemia,C,Anemia-->C,0,F,> 60,Age Group,53
Anemia,C,Anemia-->C,0,F,40 to 60,Age Group,18
Anemia,C,Anemia-->C,0,F,All Age,Age Group,75
Anemia,C,Anemia-->C,0,M,> 60,Age Group,83
Anemia,C,Anemia-->C,0,M,40 to 60,Age Group,10
Anemia,C,Anemia-->C,0,M,All Age,Age Group,93
Anemia,CKD,Anemia-->CKD,0,All Sex,< 40,Age Group,1
Anemia,CKD,Anemia-->CKD,0,All Sex,> 60,Age Group,125
Anemia,CKD,Anemia-->CKD,0,All Sex,40 to 60,Age Group,22
Anemia,CKD,Anemia-->CKD,0,All Sex,All Age,Age Group,148
Anemia,CKD,Anemia-->CKD,0,F,> 60,Age Group,77
Anemia,CKD,Anemia-->CKD,0,F,40 to 60,Age Group,22
Anemia,CKD,Anemia-->CKD,0,F,All Age,Age Group,99
Anemia,CKD,Anemia-->CKD,0,M,< 40,Age Group,1
Anemia,CKD,Anemia-->CKD,0,M,> 60,Age Group,48
Anemia,CKD,Anemia-->CKD,0,M,All Age,Age Group,49
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,< 40,Age Group,2
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,> 60,Age Group,50
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,40 to 60,Age Group,16
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,All Sex,All Age,Age Group,68
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,< 40,Age Group,2
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,> 60,Age Group,13
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,40 to 60,Age Group,16
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,F,All Age,Age Group,31
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,M,> 60,Age Group,37
Anemia,Coagulopathy,Anemia-->Coagulopathy,0,M,All Age,Age Group,37
Anemia,COPD,Anemia-->COPD,0,All Sex,< 40,Age Group,2
Anemia,COPD,Anemia-->COPD,0,All Sex,> 60,Age Group,33
Anemia,COPD,Anemia-->COPD,0,All Sex,40 to 60,Age Group,1
Anemia,COPD,Anemia-->COPD,0,All Sex,All Age,Age Group,36
Anemia,COPD,Anemia-->COPD,0,F,< 40,Age Group,1
Anemia,COPD,Anemia-->COPD,0,F,> 60,Age Group,14
Anemia,COPD,Anemia-->COPD,0,F,All Age,Age Group,15
Anemia,COPD,Anemia-->COPD,0,M,< 40,Age Group,1
Anemia,COPD,Anemia-->COPD,0,M,> 60,Age Group,19
Anemia,COPD,Anemia-->COPD,0,M,40 to 60,Age Group,1
Anemia,COPD,Anemia-->COPD,0,M,All Age,Age Group,21
Anemia,CVD,Anemia-->CVD,0,All Sex,< 40,Age Group,2
Anemia,CVD,Anemia-->CVD,0,All Sex,> 60,Age Group,185
Anemia,CVD,Anemia-->CVD,0,All Sex,40 to 60,Age Group,32
Anemia,CVD,Anemia-->CVD,0,All Sex,All Age,Age Group,219
Anemia,CVD,Anemia-->CVD,0,F,< 40,Age Group,2
Anemia,CVD,Anemia-->CVD,0,F,> 60,Age Group,108
Anemia,CVD,Anemia-->CVD,0,F,40 to 60,Age Group,30
Anemia,CVD,Anemia-->CVD,0,F,All Age,Age Group,140
Anemia,CVD,Anemia-->CVD,0,M,> 60,Age Group,77
Anemia,CVD,Anemia-->CVD,0,M,40 to 60,Age Group,2
Anemia,CVD,Anemia-->CVD,0,M,All Age,Age Group,79
Anemia,D,Anemia-->D,0,All Sex,< 40,Age Group,8
Anemia,D,Anemia-->D,0,All Sex,> 60,Age Group,103
Anemia,D,Anemia-->D,0,All Sex,40 to 60,Age Group,38
Anemia,D,Anemia-->D,0,All Sex,All Age,Age Group,149
Anemia,D,Anemia-->D,0,F,< 40,Age Group,7
Anemia,D,Anemia-->D,0,F,> 60,Age Group,60
Anemia,D,Anemia-->D,0,F,40 to 60,Age Group,33
Anemia,D,Anemia-->D,0,F,All Age,Age Group,100
Anemia,D,Anemia-->D,0,M,< 40,Age Group,1
Anemia,D,Anemia-->D,0,M,> 60,Age Group,43
Anemia,D,Anemia-->D,0,M,40 to 60,Age Group,5
Anemia,D,Anemia-->D,0,M,All Age,Age Group,49
Anemia,Drugs,Anemia-->Drugs,0,All Sex,> 60,Age Group,1
Anemia,Drugs,Anemia-->Drugs,0,All Sex,40 to 60,Age Group,1
Anemia,Drugs,Anemia-->Drugs,0,All Sex,All Age,Age Group,2
Anemia,Drugs,Anemia-->Drugs,0,F,40 to 60,Age Group,1
Anemia,Drugs,Anemia-->Drugs,0,F,All Age,Age Group,1
Anemia,Drugs,Anemia-->Drugs,0,M,> 60,Age Group,1
Anemia,Drugs,Anemia-->Drugs,0,M,All Age,Age Group,1
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,< 40,Age Group,20
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,> 60,Age Group,187
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,40 to 60,Age Group,39
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,All Sex,All Age,Age Group,246
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,< 40,Age Group,16
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,> 60,Age Group,98
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,40 to 60,Age Group,32
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,F,All Age,Age Group,146
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,< 40,Age Group,4
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,> 60,Age Group,89
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,40 to 60,Age Group,7
Anemia,FluidsLytes,Anemia-->FluidsLytes,0,M,All Age,Age Group,100
Anemia,G,Anemia-->G,0,All Sex,> 60,Age Group,4
Anemia,G,Anemia-->G,0,All Sex,All Age,Age Group,4
Anemia,G,Anemia-->G,0,M,> 60,Age Group,4
Anemia,G,Anemia-->G,0,M,All Age,Age Group,4
Anemia,HIV,Anemia-->HIV,0,All Sex,< 40,Age Group,1
Anemia,HIV,Anemia-->HIV,0,All Sex,All Age,Age Group,1
